ID,ENGLISH,ITALIAN
FEAT_DREAM_INT,"Imperial Dream - While speaking with someone with less intelligence than yourself, gain an extra proficiency on all d20 rolls.","Sogno Imperiale - Mentre parli con qualcuno con meno intelligenza di te, ottieni una competenza extra su tutti i tiri di d20."
FEAT_LIE_CHA,"Beautiful Lie - While you are at full health and 0 exhaustion, gain advantage on all Charisma d20 rolls.","Bella Bugia - Mentre sei a salute piena e 0 sfinimento, ottieni vantaggio su tutti i tiri di Carisma con d20."
FEAT_NAT_STR,Nationalist - Extra proficiency in rolls when speaking with humans.,Nazionalista - Competenza extra nei tiri quando parli con umani.
FEAT_FRE_DEX,Freestrider - Gain a 10% additional discount in all purchases.,Cavalcatore Libero - Ottieni uno sconto aggiuntivo del 10% su tutti gli acquisti.
FEAT_AZG_WIS,"Azgalist - Whenever you take damage, move one step forward on a secret three step counter. On step one, a 'thesis' d20 die is thrown. On step two, if the damage you took is higher than the 'thesis' die, an 'antithesis' d4 die is thrown. On step three, the damage you took is lowered either by 1, or by the 'antithesis' die if that die was rolled during step two. This is 'synthesis', somehow. The next time you take damage, return to step one.","Azgalista - Ogni volta che subisci danni, avanzi di un passo in un contatore segreto a tre passi. Al passo uno, viene tirato un d20 'tesi'. Al passo due, se i danni subiti sono superiori al dado 'tesi', viene tirato un d4 'antitesi'. Al passo tre, i danni subiti vengono ridotti di 1, o del dado 'antitesi' se è stato tirato durante il passo due. Questa è la 'sintesi', in qualche modo. La prossima volta che subisci danni, torni al passo uno."
FEAT_ARC_INT,"Arcanist - When you use up your last spell slot of any level, you roll a 1d100. If the result is lower than your natural intelligence, you regain that spell slot.","Arcanista - Quando esaurisci il tuo ultimo slot incantesimo di qualsiasi livello, tiri un 1d100. Se il risultato è inferiore alla tua intelligenza naturale, recuperi quello slot incantesimo."
FEAT_AGR_CON,"Agrarian - Whenever you pick up food, you roll 1d20. If you get 16 or higher, you get an additional food item.","Agrario - Ogni volta che raccogli cibo, tiri 1d20. Se ottieni 16 o più, ricevi un oggetto cibo aggiuntivo."
FEAT_APO_CHA,Apolitical - Increases proficiency in rolls by 1. This amount is increased to 10 on any election day.,Apolitico - Aumenta la competenza nei tiri di 1. Questo ammontare aumenta a 10 in qualsiasi giorno di elezioni.
FEAT_MONEY_DEX,Money Talks - Get 50% extra money on pickup.,Il Denaro Parla - Ottieni il 50% di denaro in più alla raccolta.
FEAT_SPIRIT_WIS,Azgalian Spirit - Restore 1 Hit Point every hour that passes.,Spirito Azgaliano - Recupera 1 Punto Ferita ogni ora che passa.
FEAT_FEMI_WIS,Lady Fair - Extra proficiency in rolls when speaking with feminine characters.,Bella Signora - Competenza extra nei tiri quando parli con personaggi femminili.
FEAT_MASC_STR,Future Patriarch - Extra proficiency in rolls when speaking with masculine characters.,Futuro Patriarca - Competenza extra nei tiri quando parli con personaggi maschili.
FEAT_PRINT_INT,Mass Media Propaganda - Alters ability score modifiers on equipped texts. Positive modifiers get +1 and negative modifiers get -1.,Propaganda Mediatica - Altera i modificatori di caratteristica sugli scritti equipaggiati. I modificatori positivi ottengono +1 e quelli negativi -1.
FEAT_UNITY_WIS,"Human-Dwarf Unity - While you are at full health, whenever you take damage, those dice are rolled with disadvantage.","Unità Umani-Nani - Mentre sei a salute piena, ogni volta che subisci danni, quei dadi vengono tirati con svantaggio."
FEAT_ENDURE_CON,"Azgalian Endurance - For every 3 hours spent being exhausted, you lose 1 level of exhaustion.","Resistenza Azgaliana - Per ogni 3 ore trascorse in stato di sfinimento, perdi 1 livello di sfinimento."
FEAT_DEFEND_STR,Defend the City - Alters ability score modifiers on equipped helms. Positive modifiers get +1 and negative modifiers get -1.,Difendi la Città - Altera i modificatori di caratteristica sugli elmi equipaggiati. I modificatori positivi ottengono +1 e quelli negativi -1.
FEAT_TRUE_DEX,"True Norvikian - Roll initiative with Strength, if it is higher than your Dexterity.","Vero Norvikiano - Tira l'iniziativa con Forza, se è superiore alla tua Destrezza."
FEAT_MIGHT_CON,Leviathan Apparatus - Enemies always roll initiative with disadvantage.,Apparato del Leviatano - I nemici tirano sempre l'iniziativa con svantaggio.
FEAT_FORCE_STR,Unstoppable Force - Alters ability score modifiers on equipped weapons. Positive modifiers get +1 and negative modifiers get -1.,Forza Inarrestabile - Altera i modificatori di caratteristica sulle armi equipaggiate. I modificatori positivi ottengono +1 e quelli negativi -1.
FEAT_HAND_DEX,Invisible Hand - Advantage on all trifle checks.,Mano Invisibile - Vantaggio su tutte le prove di destrezza minore.
FEAT_OBJECT_CHA,"Immovable Object - Your Dexterity modifier also adds to your haggle discount in shops, stacking with Charisma.","Oggetto Inamovibile - Il tuo modificatore di Destrezza si aggiunge anche allo sconto contrattazione nei negozi, sommandosi al Carisma."
FEAT_VOICE_STR,"Voice of God - Whenever you roll a d20, another hidden d20 is rolled. If that die is the same as your die, you critically succeed. If both are natural twenties, you regain all your hit points, you regain all your spent spell slots, you lose all levels of exhaustion, and you become genuinely happy for 1d4 seconds.","Voce di Dio - Ogni volta che tiri un d20, un altro d20 nascosto viene tirato. Se quel dado è uguale al tuo, ottieni un successo critico. Se entrambi sono venti naturali, recuperi tutti i punti ferita, tutti gli slot incantesimo spesi, perdi tutti i livelli di sfinimento e diventi genuinamente felice per 1d4 secondi."
FEAT_STRING_INT,"Stringmaster - For each level of spell slot you have, you gain one additional maximum spell slot.","Maestro delle Corde - Per ogni livello di slot incantesimo che possiedi, ottieni uno slot incantesimo massimo aggiuntivo."
FEAT_PATRON_CHA,"Communing Patron - If you take damage that would cause you to go to 0, a mysterious force protects you. If this happens, you take no damage, and lose one 1st level spellslot. If you do not have any 1st level spell slots, this does not happen.","Patrono Comunicante - Se subisci danni che ti porterebbero a 0, una forza misteriosa ti protegge. Se ciò accade, non subisci danni e perdi uno slot incantesimo di 1° livello. Se non hai slot di 1° livello, questo non si attiva."
FEAT_LICH_INT,"Almost Lichdom - Inspired by your favorite pale man, you no longer gain health from healing. You also become invulnerable to all forms of damage. Whenever you take damage of any kind, you always gain one level of exhaustion. Whenever you heal more than 6 HP from any one source, you lose one level of exhaustion.","Quasi Lichdom - Ispirato dal tuo pallido preferito, non guadagni più salute dalle cure. Diventi anche invulnerabile a tutte le forme di danno. Ogni volta che subisci danni di qualsiasi tipo, guadagni sempre un livello di sfinimento. Ogni volta che curi più di 6 PF da una singola fonte, perdi un livello di sfinimento."
FEAT_NEURO_WIS,"Esoteric Neuroticism - When you do not have any SHARDS OF JOR, you can spend hit points to unlock dialog options instead. The cost begins at 1 HP, and is doubled each time you use it. The cost resets on a long rest.","Nevrosi Esoterica - Quando non hai FRAMMENTI DI JOR, puoi spendere punti ferita per sbloccare opzioni di dialogo. Il costo inizia a 1 PF e raddoppia ogni volta che lo usi. Il costo si azzera con un riposo lungo."
FEAT_BLOOD_CON,"Blood Magic - When you run out of spell slots, you can cast spells with hit points instead. The cost begins at the spell slot level in HP and is multiplied by the amount of times you've activated this effect. The cost resets on a long rest.","Magia del Sangue - Quando esaurisci gli slot incantesimo, puoi lanciare incantesimi con i punti ferita. Il costo inizia al livello dello slot in PF e viene moltiplicato per il numero di volte che hai attivato questo effetto. Il costo si azzera con un riposo lungo."
FEAT_CLERIC_STR,"The Cleric - Your healing spells are increased by an extra proficiency. Your heals can also be increased by your Strength modifier instead of your Wisdom modifier, if it is higher.","Il Chierico - I tuoi incantesimi di cura sono aumentati di una competenza extra. Le tue cure possono anche essere aumentate dal modificatore di Forza invece che da quello di Saggezza, se è superiore."
FEAT_ROGUE_DEX,Dick-Ass Rogue - The DC of trifle checks are lowered by an extra proficiency.,Ladro Farabutto - La CD delle prove di destrezza minore è ridotta di una competenza extra.
FEAT_WIZARD_INT,God-Emperor Wizard - The amount of spells you can prepare is increased by an extra proficiency. Saving Throws made by targets are also rolled at disadvantage.,Mago Imperatore - Il numero di incantesimi che puoi preparare è aumentato di una competenza extra. I Tiri Salvezza effettuati dai bersagli vengono anche tirati con svantaggio.
FEAT_BARB_CON,"Askanii Barbarian - Whenever you are at or below 25% HP, add an extra proficiency on all rolls.","Barbaro Askanii - Ogni volta che sei al 25% o meno dei PF, aggiungi una competenza extra a tutti i tiri."
FEAT_BARD_CHA,"Lore-Seeking Bard - Your Behold Checks are rolled with an extra proficiency. Additionally, DCs on flirt rolls are lowered by your proficiency.","Bardo Cercatore di Sapere - Le tue Prove di Osservazione vengono tirate con una competenza extra. Inoltre, le CD sui tiri di seduzione sono ridotte dalla tua competenza."
FEAT_DRUID_WIS,"Friendly Local Druid - Extra proficiency in rolls when in natural habitats. This includes outside areas, overgrown areas, and caverns.","Druido Amichevole del Luogo - Competenza extra nei tiri quando ti trovi in habitat naturali. Questo include aree esterne, aree ricoperte di vegetazione e caverne."
FEAT_LEYLINE_CHA,Leyline Hook - Alters ability score modifiers on TRINKETS. Positive modifiers get +1 and negative modifiers get -1.,Aggancio alla Linea Ley - Altera i modificatori di caratteristica sui CIONDOLI. I modificatori positivi ottengono +1 e quelli negativi -1.
FEAT_MILL_CON,"Millennia Guardian - The effects from Potions are doubled. For Ability Score increases, this only affects the first potion of a kind you've ingested.","Guardiano Millenario - Gli effetti delle Pozioni sono raddoppiati. Per gli aumenti di Caratteristica, questo influenza solo la prima pozione di quel tipo che hai ingerito."
FEAT_TINGLE_WIS,Positive Tingle - Healing spells are rolled with twice the normal amount of dice.,Formicolio Positivo - Gli incantesimi di cura vengono tirati con il doppio dei dadi normali.
FEAT_SCRIBBLE_INT,Scribble the Margins - Your cleric level is doubled when calculating the amount of spells you can prepare.,Scarabocchia i Margini - Il tuo livello da chierico è raddoppiato quando calcoli il numero di incantesimi che puoi preparare.
FEAT_DEM_DEX,Democratic Herald - You regain 1d4 hit points each time you ask someone what they are voting in the election.,Araldo Democratico - Recuperi 1d4 punti ferita ogni volta che chiedi a qualcuno cosa voterà alle elezioni.
