ID,ENGLISH,ITALIAN
IP_ALFOZ_15,Alfoz knows he is privileged. He hates it. His ideal clashes with his blood.,Alfoz sa di essere privilegiato… E lo odia. Il suo ideale si scontra con ciò che è insito nel suo sangue.
IP_ALFOZ_20,At his core he fights for glory. Empathy does not spark his heart. He wants to earn admiration and LEGEND.,"Nel profondo, lotta per la gloria. L’empatia non scatena alcuna emozione in lui; desidera soltanto guadagnare ammirazione e diventare una LEGGENDA."
IP_ARN_5_DEX,Kid's working his ass off. Getting that bread! He must be doing that optional weekend school.,Il ragazzo sta lavorando sodo… Sta cercando di guadagnarsi da vivere! Deve sicuramente frequentare quella scuola serale opzionale nei fine settimana.
IP_ARN_10,He'll go far in life with that attitude. But that fire under his ass must've been lit by something fierce.,"Con quell’atteggiamento, farà molta strada nella vita… Ma quella “fiamma” che lo spinge deve essere stata accesa da qualcosa di davvero intenso."
IP_ARN_15,He's a jumpy fellow. A survivor. Type of kid that's used to making it on his own.,"È un tipo nervoso, un sopravvissuto… Il genere di persona abituata a cavarsela da sola."
IP_ARN_20,You relate to his fear. The kid doesn't want to end up like his old man - forgotten by time and space and the city.,"Comprendi perfettamente la sua paura. Quel ragazzo non vuole finire come suo nonno: dimenticato dal tempo, dello spazio… e dalla città stessa."
IP_ARN_25,"He's grieving. But he's keeping it together, for his brother. They both have ways of dealing with it. Arn will grow up to be a great capitalist.","Sta soffrendo molto, ma cerca di mantenere la calma per il bene di suo fratello. Ognuno di loro ha il proprio modo di affrontare questa situazione… Arn diventerà sicuramente un grande capitalista."
IP_AVIK_5_CON,A guy. Dwarf. Average height. Collected. Down to earth. True to his feelings. Decently smart. Chill. <i>Cool</i>. Nice to animals. Not much else to it.,"Un tizio… un nano… di statura media… riservato, con i piedi per terra, fedele ai propri sentimenti… abbastanza intelligente… tranquillo… <i>Veramente tranquillo</i>. Buono con gli animali… Nient’altro di particolare da aggiungere."
IP_AVIK_12,"Born from the Strings of Fates - the Fade Era remnant tyrants smile upon his step. For some very, very, very strange reason. This dwarf, if handed an object with a destiny set in stone, could automatically create <shake>FRAYS</shake>. Chaos. Madness. A new chance to roll the die.","Nato dalle “Corde del Destino”, i tiranni rimasti dall’era del “Fade” sorridono al suo passaggio… Per qualche motivo molto, molto strano. Questo nano, se gli venisse dato un oggetto il cui destino è già stato deciso, sarebbe in grado di causare… <scuote>disordini>, caos, follia… Una nuova opportunità per “tirare i dadi”."
IP_AVIK_20,"He <i>is</i> the working class. A good Azgalist footsoldier. A loyal workers. This is the type of man who deserve a raise, so his salary meets his level of productivity.","Appartiene alla classe lavoratrice: un bravo soldato semplice degli Azgali, un lavoratore leale. È il tipo di persona che merita un aumento di stipendio, in modo che esso corrisponda davvero al suo livello di produttività."
IP_BOND_2,A demi-lich.,Un demilich.
IP_BOND_8_INT,"An insane demi-lich. His mind having shattered many decades ago. However, his behavior (along with the simply fact that he exists down here in a relatively stable condition) suggests his madness has either not entirely set in, or that he is being shepherded. Perhaps by the pale man upstairs?","Un folle demilich. La sua mente è andata in frantumi molti decenni fa. Tuttavia, il suo comportamento (insieme al semplice fatto che esista qui, in condizioni relativamente stabili) suggerisce che la sua follia non sia del tutto manifesta, o che qualcuno lo stia guidando… Forse quell’uomo pallido al piano di sopra?"
IP_BOND_12,"You understand how to please him. His EGO is almost as big as his physical body is tiny, and he craves the feeling of superiority. In effect, he's a fairly good teacher, if you can stand the belittlement.","Tu sai bene come compiacerlo. Il suo EGO è quasi altrettanto grande quanto il suo corpo fisico è minuscolo, e anela disperatamente a quella sensazione di superiorità. In realtà, è un insegnante abbastanza valido… se riesci a sopportare i suoi atteggiamenti umilianti."
IP_BOND_18,"This skull has seen more esoteric events, historical battles, and shifts in global power than even the grandest of dragons of the Fade Era. Keep on his good side, and you'll have a great repository of knowledge in the future here.","Questo cranio ha assistito a eventi esoterici, battaglie storiche e cambiamenti nel equilibrio del potere globale più di quanto abbiano fatto i draghi più maestosi dell’Epoca del Fade. Se lo tenete dalla vostra parte, in futuro disporrete di una straordinaria riserva di conoscenze."
IP_BORGO_2_STR,This is a true warrior.,Questo è un vero guerriero.
IP_BORGO_9,"He is off-duty. But whatever duty that is, it's everlasting.","È fuori servizio. Ma qualunque sia quel servizio, dura per l’eternità."
IP_BORGO_16,This dark knight can break you like a twig. Yet he will not. He is bound by an order - but why does it not affect you?,Questo cavaliere oscuro potrebbe spezzarti come un rametto… Eppure non lo farà. È vincolato da un ordine… Ma perché questo ordine non influisce su di te?
IP_BORGO_21,Not a man. Not even corporeal. This is a silent yet shrieking wraith forced into enslavement by the darkness of this realm. There is something indescribably manly about self-control in such circumstances.,"Non è un uomo… Nemmeno ha una forma corporea. È un fantasma silenzioso, ma straziante, costretto alla schiavitù dall’oscurità di questo regno. C’è qualcosa di indescrivibilmente “virile” nella capacità di mantenere il controllo di sé in circostanze del genere."
IP_BRAXO_6_STR,Surprisingly content. Hard worker.,Inaspettatamente pieno di contenuti… E davvero molto impegnativo da gestire.
IP_BRAXO_10,"Has a nested interest in the current regime. Devils used to be allowed into the city only on work visas, so he could have served for several decades.","Ha un interesse particolare per il regime attuale. In passato, ai demoni era permesso entrare in città solo con visti di lavoro; quindi è possibile che abbia servito per diversi decenni."
IP_BRAXO_15,Somehow you just know this devil would gladly organize a mass genocide against non-humans in this city.,"In qualche modo, si sa già che questo demonio organizzerà volentieri un genocidio di massa contro gli esseri non umani in questa città."
IP_BRAXO_18,This is no ordinary imp. His stature and position implies a former rank. A Greater Devil? What kind of game is he playing?,Questo non è un semplice imp. La sua statura e la sua posizione indicano che in passato ha ricoperto un rango elevato. Un Grande Demone? In che tipo di gioco sta giocando?
IP_BRAXO_24,"Braxo. He works for the upper city echelon, and knows more than you'll ever hear. The tiny form is a convenience. Keep him as your friend. He will be useful.",Braxo. Lavora per le élite della città alta e sa cose che tu non immagineresti mai. La sua piccola statura rappresenta un vantaggio… Tienilo come amico: ti sarà molto utile.
IP_BRR_2_WIS,<i>Brrr.</i>,<i>Brrr.</i>
IP_BRR_4,"The vibrations he gives off is his language. With magic, you could communicate better.","Le vibrazioni che emette rappresentano il suo “linguaggio”. Con la magia, si potrebbe comunicare ancora meglio."
IP_BRR_12,This is a scout of the deeper crevices of the earth. A creature set to keep an eye on the horrors of the icy rage.,Questo è un esploratore delle profonde fessure della terra: una creatura incaricata di tenere d’occhio gli orrori che si nascondono nella furia ghiacciata delle profondità terrestri.
IP_BRR_14,<i>Brrr</i>.,<i>Brrr…</i>.
IP_BRR_17,Perhaps a future ambassador of his people. Treat him with respect.,Forse un futuro ambasciatore del suo popolo… Trattatelo con rispetto.
IP_CHAMAR_9_STR,A follower of the Holy Mountain. Of Divinii Torum.,Un seguace della Montagna Sacra… di Divinii Torum.
IP_CHAMAR_12,She hates you. Entirely due to your blood origin. Or maybe there's something else...,Lei ti odia. Interamente a causa della tua origine di sangue. O forse c’è qualcos’altro…
IP_CHAMAR_19,"Ah. Of course. It is not you she hates. She hates herself. The human part of herself. The part which places her below her glorious golden celestial masters. If she could sever that humanity, she would do so in an instant, all for a slim chance to hear the choir.","Ah… Certo. Non sei tu che lei odia… Odia se stessa… Quella parte umana di sé… Quella parte che la rende inferiore ai suoi gloriosi maestri celesti d’oro. Se potesse strapparsi via quella umanità, lo farebbe all’istante… Solo per una remota possibilità di ascoltare quel coro…"
IP_CHAMAR_23,"Beyond the veil of a faithful servant, there is also a layer of scheming. Yes, this woman is not so much kneeling before power as much as she is intending to grasp as much from the hierarchy as she is able. What an interesting woman.","Dietro l’aspetto di una serva devota, si nasconde anche una grande astuzia. Sì, questa donna non si limita a sottomettersi al potere, ma cerca invece di ottenere il massimo possibile dalla gerarchia. Che donna interessante…"
IP_DARROW_5_CHA,Here he is. The Coinlord of Norvik and Magistrate of Tolstad.,Eccolo qui: il Signore delle Monete di Norvik e Magistrato di Tolstad.
IP_DARROW_10,"That smile of his is a facade, of course. An expression-simulacra, heavily trained over the course of twenty years on the job. He's an expert in his field, and his field is politics.","Quel suo sorriso, ovviamente, non è altro che una facciata: un’espressione simulata, perfezionata attraverso vent’anni di pratica costante nel suo campo di lavoro. È un esperto nel suo ambito, e quel campo è la politica."
IP_DARROW_15,"He will respect you only if you serve him loyalty, like a hound, or... if you prove yourself competent and ruthless. He has no time for fools. But a man of his stature does not retain power if he does not recognize talent when it barks in his face.","Ti rispetterà soltanto se lo servirai con lealtà, come un cane fedele… o se dimostrerai di essere competente e spietato. Non ha tempo per gli sciocchi. Ma una persona della sua statura non riesce a mantenere il potere se non riconosce i talenti quando questi gli si presentano davanti agli occhi."
IP_DARROW_20,"He inherited his position from his father at a young age. Nicholas has been doing this his entire life, and he's good at it. One of the best. The only problem being, if you're good at the role of a magister, then you're good at a number of nefarious, illegal activities by association.","Ereditò la sua posizione dal padre a una giovane età. Nicholas svolge questa funzione per tutta la sua vita, e lo fa molto bene… anzi, tra i migliori. L’unico problema è che, se sei bravo nel ruolo di magistrato, allora sei anche portato, per associazione, a svolgere numerose attività illecite e malvagie."
IP_DRUMMER_2_DEX,"It's just a crate, right? But what's the rythmic thumping noise?","È solo una cassa, giusto? Ma da dove proviene quel rumore ritmico e continuo?"
IP_DRUMMER_6,You're kidding. The bird is actually- the tea shop owner is- he's... come on. Really?,"Stai scherzando… Quell’uccello in realtà è… il proprietario del negozio di tè è… insomma, seriamente?"
IP_DRUMMER_12,"This must be the silliest, most idiotic, and plain stupid plan you've ever seen enacted. Even if he is one of those bird-people who are able to survive without food or water for weeks.","Deve essere il piano più stupido, più idiota e davvero assurdo che abbiate mai visto attuarsi. Anche se si tratta di uno di quei personaggi capaci di sopravvivere per settimane senza cibo né acqua…"
IP_DRUMMER_15,"Okay, listen up. This bird is inside the create, and once you get it open, you'll be in for an interrogation. So be ready. He'll try to talk himself out of it, but don't worry about that. Just focus on getting him to tell you the actual truth. Be rough or smooth, doesn't matter.","Bene, ascoltate attentamente. Questo uccello si trova all’interno di un contenitore; non appena lo aprirete, dovrete affrontare un’interrogazione. Quindi preparatevi. Cercherà di convincervi con le sue parole, ma non preoccupatevene… Concentratevi soltanto nel fargli confessare la verità. Non importa se usate metodi duri o gentili… L’importante è ottenere le risposte giuste."
IP_ETTIR_5_STR,Cold. Stern. Glorious.,Freddo. Severo. Glorioso.
IP_ETTIR_10,She follows orders. The type of orders that grant eternal fulfillment.,Obbedisce agli ordini… Ordini che le procurano una soddisfazione eterna.
IP_ETTIR_15,"There is a sadness in her existence. Broken wings, stuck among lesser beings. What does she seek?","C’è una tristezza nella sua esistenza… Ali spezzate, intrappolata tra esseri inferiori… Cosa sta cercando?"
IP_ETTIR_20,When an angel falls she ceases to exist. She is transformed. This creature does not seek redemption or emancipation. She seeks purpose.,"Quando un angelo cade, smette di esistere… Viene trasformato. Questa creatura non cerca redenzione né liberazione… Cerca uno scopo."
IP_ETTIR_25,"Ettir does not need to be here. Something binds her to earth. To Norvik. And it is not esoteric. Not in any sense of the word.


It must be a difficult being. To live between worlds like she does. Perhaps one day she will understand his words.","Ettir non ha bisogno di essere qui. Qualcosa la lega alla terra… a Norvik. E non si tratta di nulla di esoterico, in nessun senso della parola.

Deve essere una vita difficile, vivere tra mondi come fa lei… Forse un giorno capirà le sue parole."
IP_EVER_5_CHA,By the gods... it's a TRIFLER!,Per gli dei… è un TRIFLER!
IP_EVER_10,"He's real polite though. And he's genuinely not trying to kill you. You don't think it's really got a gender either, but it feels like a 'he' doesn't it? Don't ask him about his gender. Or maybe do?","È davvero molto educato… E onestamente non cerca affatto di ucciderti. Non credi che abbia un genere specifico, vero? Ma sembra più un “lui”, no? Non chiederglielo… O forse sì?"
IP_EVER_15,"You get a sense for his motivation here. The aberration before you does not hold any grudge, and acts polite towards these ants running around him- all for the purpose of some greater, <i>esoteric</i> vision.","Qui si può comprendere la sua motivazione. Quest’essere aberrante che hai davanti a te non nutre alcun rancore e si comporta in modo educato verso queste formiche che gli corrono intorno… tutto al fine di realizzare una qualche visione più grande, <i>esoterica</i>."
IP_EVER_20,"<i>Yunolotia Manathern</i>. Fate cannot sway.

Ever-Glad seeks the end of the facade. Ever-Glad seeks the beginning of another Era. All for the sake of avoiding the FREYS OF DOOM.","<Yunolotia Manathern>. Le fate non possono influenzare nulla.

Ever-Glad cerca di distruggere questa facciata… Cerca l’inizio di un’altra Era. Tutto questo per evitare i FREYS DEL DESTINO."
IP_FREY_5_STR,"She is dressed in a fine silken robe, like a noblewoman.","È vestita con un elegante abito di seta, come una nobildonna."
IP_FREY_10,"Her hair is short and coarse. The rebellious kind, but Urthfolk nobility nonetheless.","I suoi capelli sono corti e ruvidi… Di quel tipo ribelle, tipico della nobiltà di Urth."
IP_FREY_15,Why is she down here? Not many of her kind seek the company of Waterlane workers and goblins.,Perché si trova qui? Poche persone della sua specie cercano la compagnia dei lavoratori di Waterlane e dei goblin…
IP_FREY_20,Hold on. You recognize her. This is... *Freydis Darrow*! The daughter of the Coinlord!,Aspetta… La riconosci. Questa è… *Freydis Darrow*! La figlia del Signore delle Monete!
IP_GORM_9_STR,"Alas, poor Gorm. His choices led him down this doomed path. Painfully relatable.","Ahimè, povero Gorm… Le sue scelte lo hanno condotto su questa strada senza uscita. Una situazione davvero commovente…"
IP_GORM_14,"Here we have someone who is supposed to be the best of us. Human of good breed. Raised up by Urth himself. Educated, rich, seemingly healthy...

If he could not stay on the path, who could?","Ecco qualcuno che dovrebbe essere il migliore tra noi: un essere umano di nobili origini, cresciuto direttamente da Urth stesso, istruito, ricco, apparentemente sano…

Se lui non è riuscito a rimanere sulla retta strada, chi allora potrebbe riuscirci?"
IP_GORM_18,"You're nothing like him. You did not come from nobility. You were not given any special treatment, even with your latent talents. The only thing you have in common is your willingness to throw it all away - to throw yourselves against the meat grinder of TIME.

But you will not be minced. Your sinewy nature will grind it to a halt. The farm boy will live past Ragnarôk. The hero's bones will break upon the pavement.","Non sei affatto come lui. Non provieni dalla nobiltà, e non hai ricevuto alcun trattamento speciale, nonostante i tuoi talenti nascosti. L’unica cosa che avete in comune è la vostra volontà di gettare via tutto… di sfidare la macina del TEMPO.

Ma non verrete ridotti in polvere. La vostra natura robusta impedirà che ciò accada. Il ragazzo di campagna sopravviverà a Ragnarôk… mentre le ossa dell’eroe si frantumeranno sul selciato."
IP_GORM_20,Gorm also has a bad shoulder. Exploit that. (Also relatable.),Gorm ha anche una spalla malandata… Sfruttatelo. (Anche questo è un aspetto applicabile in diverse situazioni.)
IP_GOUR_5_STR,"A great and mighty <i>frost troll</i>. Horrifying, even while asleep.","Un enorme e potente <i>troll del ghiaccio</i>. Spaventoso, anche quando dorme."
IP_GOUR_10,"You've got a few ways of approaching this. Killing a troll is not easy, and you need all the advantage you can get.

1. Attack him right away, giving you a head start.
2. Put up some kind of trap.
3. Try to communicate first (weak).
4. Walk away (also weak).","Ci sono diversi modi per affrontare questa situazione. Uccidere un troll non è affatto facile, quindi è necessario sfruttare ogni vantaggio possibile.

1. Attaccarlo subito per avere un vantaggio iniziale.  
2. Posizionare una trappola.  
3. Provare a comunicare prima (opzione meno efficace).  
4. Allontanarsi (altro approccio poco efficace)."
IP_GOUR_15,"Getting close enough to strike the sleeping monster would be difficult. However, it would allow you to strike a decisive blow.","Avvicinarsi abbastanza da colpire il mostro addormentato sarebbe difficile… Tuttavia, ciò vi permetterebbe di infliggere un colpo decisivo."
IP_GOUR_20,"It is time to redeem yourself. Over twenty years have passed since that fateful day. Now... prove yourself. Show the world...

You have TROLLKILLER blood in your veins.","È giunto il momento di redimerti. Sono trascorsi più di vent’anni da quel giorno fatale… Ora… dimostra di cosa sei capace. Mostra al mondo…

Nelle tue vene scorre il sangue di un TROLLKILLER."
IP_ISK_2_INT,"This is an ancient snail, from another time.","Si tratta di un antico lumache, proveniente da un’epoca lontana."
IP_ISK_8,"An interesting fellow. An incredible knowledge, but held within a culture of the Beasts of Jor- complete barbarians. Fascinating. You must, in any case, study this creature.","Un individuo davvero interessante… Una conoscenza incredibile, ma racchiusa all’interno di una cultura di barbari puri e semplici… Affascinante. In ogni caso, è assolutamente necessario studiare questa creatura."
IP_ISK_15,The esoteric mastery at play here is beyond anything you have ever encountered. Keep in contact with this snail. It will be of great service in the future.,La maestria esoterica alla base di tutto ciò che sta avvenendo va ben oltre qualsiasi cosa tu abbia mai incontrato prima. Mantieni i contatti con questo “lumache”: ti sarà di grande aiuto in futuro.
IP_ISK_20,"His goal will be completed in time. However, before then you are certain he will break many taboos of the Era. This is the type of man, not too unlike the more sophisticated Arcanists, who will break reality and rewrite Jor's rules, all in an attempt to get the final say.","Il suo obiettivo verrà raggiunto in tempo. Tuttavia, prima di allora, è certo che violerà molti tabù dell’Epoca. È questo il tipo di uomo che, non molto diversamente dagli Arcanisti più sofisticati, è disposto a sovvertire la realtà e riscrivere le regole di Jor, tutto nel tentativo di avere l’ultima parola."
IP_IVCX_5_WIS,"The light blinds you. Even among celestials, this creature is powerful.","La luce ti abbaglia… Anche tra le creature celesti, questa creatura è davvero potente."
IP_IVCX_10,"It seems out of place. Why would an ambassador of the Golden Horde be here? Why would this creature, of such great and bright force, even be here?

It doesn't make any sense.","Sembra fuori luogo… Perché un ambasciatore della Golden Horde dovrebbe essere qui? E perché questa creatura, dotata di una forza così grande e potente, dovrebbe trovarsi in questo posto?

Non ha alcun senso…"
IP_IVCX_15,"Antesepalian. A creature who was ancient before this world was created. What stands before you is no ambassador- this is a close servant of an outer Power. That is why your body recoils, even when the light appears to signal nothing but <i>BE NOT AFRAID</i> to your senses.","Antesepalian. Una creatura esistente già prima della creazione di questo mondo. Quello che vi sta di fronte non è un semplice ambasciatore, ma un fedele servitore di una Potenza esterna. Ecco perché il vostro corpo reagisce in questo modo, anche se la luce sembra trasmettere soltanto il messaggio <i>Non temete</i> ai vostri sensi."
IP_IVCX_20,"In its prime, it held closer resemblance to our walking gods than any angel of the Horde. Why is it reduced to <i>your</i> material level, here in your city?

What a strange world you live in, to get a chance to have a civil conversation with it.","Nel suo apice, assomigliava di più ai nostri “dèi in carne e ossa” che a qualsiasi angelo dell’Orda. Perché ora è stato ridotto al livello materiale di <i>voi</i>, proprio nella vostra città?

Che mondo strano in cui vivete… avere l’opportunità di conversare civilmente con esso è davvero un dono inaspettato."
IP_JEHANNE_5_CHA,"A halfling. One of many who lives in Norvik, especially after the Golden Line.","Un mezzoratto… Uno dei tanti che vivono a Norvik, soprattutto dopo l’arrivo della Linea d’Oro."
IP_JEHANNE_10,"She is a hard worker, one of few talents but much heartiness. Support her in her struggle against capital.","È una persona molto lavoratrice: uno dei pochi talenti che possiede, insieme a una grande determinazione. Sostenetela nella sua lotta contro il capitale."
IP_JEHANNE_15,"A boot. That is what she rages against. Not in the activist sense, but in the sense of an ever changing daily grueling toil. Our work never ends.","Una scarpa… È contro questa che lei si ribella. Non nel senso di un’attività politica o sociale, ma nel senso di un lavoro quotidiano estenuante e in continuo cambiamento… Il nostro lavoro non finisce mai."
IP_JEHANNE_20,"She would prefer to not be engaged in all this messiness. Alas, how else will she keep her wage up? How else will she survive in a world where food gets more expensive while the point of Material Break comes closer by the hour?","Preferirebbe di certo non essere coinvolta in tutta questa confusione. Ahimè, in che altro modo potrebbe mantenere il proprio stipendio? In che altro modo potrebbe sopravvivere in un mondo in cui il cibo diventa sempre più costoso, mentre il momento in cui si verificherà la “Rottura Materiale” si avvicina sempre di più…"
IP_KRAAID_5_CON,"A mad flesh-eating Beast of Jor from the swamps of Hae'Xi. Why he hasn't eaten you yet, you do not know.","Una folle bestia carnivora di Jor, proveniente dalle paludi di Hae’Xi… Perché non ti abbia ancora mangiato, non lo sai."
IP_KRAAID_10,"A masterful chef. His passion is cooking. Fried, stewed, pickled, boiled. Kraaid knows all - and his palette is expansive. You included.","Un cuoco maestro. La sua passione è cucinare: friggere, stufare, marinare, bollire… Kraaid sa tutto, e la sua gamma di tecniche è davvero vasta. L’hai incluso anche tu nella lista."
IP_KRAAID_15,"His restrain is not from etiquette nor kindness. This is a monster, spawned from generations of hunters infected, inflicted, by the RED MIST of the Tree of the Spiral - HAGS. HAGS MADE HIM. HE IS BIRTHED FROM EVIL.","Il suo autocontrollo non deriva dall’etichetta né dalla gentilezza. È un mostro, nato da generazioni di cacciatori infettati e tormentati dalla NEBBIA ROSSA del Albero a Spirale… Le Streghe lo hanno creato. È nato dal male."
IP_KRAAID_20,"Despite his nature, above all he follows his instinct. Currently, it speaks: FOLLOW THE WIZARD. IT WILL GRANT PASSAGE TO GREATER HUNTS. Those rumblings... they keep your flesh from being CONSUMED.","Nonostante la sua natura, segue soprattutto i suoi istinti. In questo momento, questi gli dicono: “Segui il mago… Lui ti concederà il passaggio verso cacci più grandi”. Quei rumori… impediscono che la tua carne venga consumata."
IP_KULL_5_CON,It is an elf.,È un elfo.
IP_KULL_10,An elf of Illym. His eyes are dark with the knowledge of your doing.,"Un elfo di Illym. I suoi occhi sono pieni di conoscenza, a causa delle tue azioni."
IP_KULL_15,"This Illym servant, this spy, this Warden of Outreach - he is but a tendril of his masters. But not so efficient nor successfully scheming as you might imagine. No, they are nowhere near the might of their peak. Illym is dead. This is an avatar of her decaying corpse.","Questo servitore di Illym, questa spia, questo Guardiano dell’Estensione… non è altro che un tentacolo dei suoi padroni. Ma né così efficace né così abile nel pianificare come si potrebbe immaginare. No: sono lontani dall’avere raggiunto il loro apice. Illym è morta… Questo è soltanto un avatar del suo cadavere in decomposizione."
