F,G2U_ID🔒,OPTIONS🔒,ACTORKEY🔒,ACTORFR🔒,FRENCH🔒,FR COMS🔒,ACTOREN🔒,ENGLISH🔒,NOTES ,DC_JM_EDIT,Date English Modified,,ACTORGE,GERMAN,CF,ACTORSP,SPANISH,CF,ACTORPT,PORTUGUESE,CF,ACTORPL,POLISH,CF,ACTORZH,CHINESE,CF,ACTORJP,Japanese
,ui_options_language,,,,Changer la langue redémarrera automatiquement la scène en cours.,,,Changing the language will restart the current scene.,,,,,,Durch das Ändern der Sprache wird die aktuelle Szene neu gestartet.,,,Al cambiar el idioma reiniciarás la escena actual.,,,Mudar o idioma reiniciará a cena atual.,,,Zmiana języka spowoduje ponowne uruchomienie bieżącej sceny.,,,更换语言将重启当前场景。,,,言語を変更すると、現在の場面を最初からやり直します。
,ui_language_choice,,,,Choix de la langue,,,Language options,Thrower,,,,,Sprachoptionen,,,Opciones de idioma,,,Opções de idioma,,,Opcje językowe,,,语言选项,,,言語選択
,ui_language,,,,Langue,,,Language,,,,,,Sprache,,,Idioma,,,Idioma,,,Język,,,语言,,,言語
,ui_language_Italiano,,,,Italian,,,French,,,,,,Französisch,,,Francés,,,Francês,,,Francuski,,,法语,,,フランス語
,ui_language_english,,,,Anglais,,,English,,,,,,Englisch,,,Inglés,,,Inglês,,,Angielski,,,英语,,,英語
,ui_language_german,,,,Allemand,,,German,,,,,,Deutsch,,,Alemán,,,Alemão,,,Niemiecki,,,德语,,,ドイツ語
,ui_language_spanish,,,,Espagnol,,,Spanish,,,,,,Spanisch,,,Español,,,Espanhol,,,Hiszpański,,,西班牙语,,,スペイン語
,ui_language_polish,,,,Polonais,,,Polish,,,,,,Polnisch,,,Polaco,,,Polonês,,,Polski,,,波兰语,,,ポーランド語
,ui_language_brazilianPortuguese,,,,Portugais brésilien,,,Brazilian Portuguese,,,,,,Portugiesisch (Brasilien),,,Portugués (Brasil),,,Português brasileiro,,,Brazylijski portugalski,,,葡萄牙语,,,ブラジルポルトガル語
,ui_language_chinese,,,,Chinois,,,Chinese,For every language,,,,,Chinesisch,,,Chino,,,Chinês,,,Chiński,,,中文,,,中国語
,ui_language_onlyfrench,,,,Français,,,Français,,,,,,Français,,,Français,,,Français,,,Français,,,Français,,,Français
,ui_language_onlyenglish,,,,English,,,English,,,,,,English,,,English,,,English,,,English,,,English,,,English
,ui_language_onlygerman,,,,Deutsch,,,Deutsch,,,,,,Deutsch,,,Deutsch,,,Deutsch,,,Deutsch,,,Deutsch,,,Deutsch
,ui_language_onlyspanish,,,,Español,,,Español,,,,,,Español,,,Español,,,Español,,,Español,,,Español,,,Español
,ui_language_onlypolish,,,,Polski,,,Polski,,,,,,Polski,,,Polski,,,Polski,,,Polski,,,Polski,,,Polski
,ui_language_onlybrazilianPortuguese,,,,Português brasileiro,,,Português brasileiro,,,,,,Português brasileiro,,,Português brasileiro,,,Português brasileiro,,,Português brasileiro,,,Português brasileiro,,,Português brasileiro
,ui_language_onlychinese,,,,中文,,,中文,"Only for CN translator who should translate ""chinese"" in their language",,,,,中文,,,中文,,,中文,,,中文,,,中文,,,中文
,ui_language_onlyjapanese,,,,日本語,,,日本語,,,,,,日本語,,,日本語,,,日本語,,,日本語,,,日本語,,,日本語
,ui_play,,,,Jouer,,,Play,,,,,,Spielen,,,Jugar,,,Jogar,,,Graj,,,开始游戏,,,Play
,ui_options,,,,Options,,,Settings,,,,,,Einstellungen,,,Ajustes,,,Configurações,,,Ustawienia,,,设置,,,設定
,ui_audio_tab,,,,Son,,,Audio,,,,,,Audio,,,Sonido,,,Áudio,,,Dźwięk,,,声音,,,音声
,ui_controls_tab,,,,Contrôles,,,Controls,,,,,,Steuerung,,,Controles,,,Controles,,,Sterowanie,,,控制,,,操作
,ui_display_tab,,,,Affichage,,,Display,,,,,,Anzeige,,,Pantalla,,,Tela,,,Wyświetlanie,,,显示,,,表示
,ui_display_mode,,,,Mode d'affichage,,,Display Mode,,,,,,Anzeigemodus,,,Modo de pantalla,,,Modo da tela,,,Tryb wyświetlania,,,显示模式,,,表示モード
,ui_fullscreen,,,,Plein écran,,,Fullscreen,,,,,,Vollbild,,,Pantalla completa,,,Tela cheia,,,Pełny ekran,,,全屏,,,全画面
,ui_borderless,,,,Plein écran sans bordure,,,Borderless fullscreen,,,,,,Vollbild (randlos),,,Pantalla completa sin bordes,,,Tela cheia sem borda,,,Pełny ekran bez ramek,,,无边框全屏,,,枠なし全画面
,ui_windowed_mode,,,,Fenêtré,,,Windowed,,,,,,Fenster,,,Modo ventana,,,Janela,,,Okno,,,窗格化,,,ウィンドウ
,ui_instant_text,,,,Textes instantanés,,,Instant texts,,,,,,Soforttext,,,Textos instantáneos,,,Textos instantâneos,,,Natychmiastowy tekst,,,即时文本,,,インスタントテキスト
,ui_white_skin,,,,Bulles de texte blanches,,,White text bubbles,,,,,,Weiße Sprechblasen,,,Bocadillos de texto blancos,,,Janela de texto branca,,,Białe dymki tekstowe,,,白色文本气泡,,,吹き出し：白
,ui_black_skin,,,,Bulles de texte noires,,,Black text bubbles,,,,,,Schwarze Sprechblasen,,,Bocadillos de texto negros,,,Janela de texto preta,,,Czarne dymki tekstowe,,,黑色文本气泡,,,吹き出し：黒
,ui_opacity_slider,,,,Opacité des bulles de texte,,,Text bubbles opacity,,,,,,Sprechblasendeckkraft,,,Opacidad de los bocadillos de texto,,,Opacidade da janela de texto,,,Przezroczystość dymków,,,文本气泡不透明度,,,吹き出しの不透明度
,ui_font_size_slider,,,,Taille de la police,,,Font size,,,,,,Schriftgröße,,,Tamaño de la fuente,,,Tamanho da fonte,,,Rozmiar czcionki,,,字体大小,,,フォントサイズ
,ui_delete_save,,,,Effacer la sauvegarde.,,,Delete the save,,,,,,Spielstand löschen,,,Eliminar la partida guardada.,,,Excluir o arquivo de salvamento.,,,Usuń zapis.,,,删除存档,,,セーブデータを削除
,ui_delete_confirmation,,,,Êtes-vous sûr de vouloir effacer votre sauvegarde?,,,Are you sure you want to delete this save?,,,,,,Möchtest du diesen Spielstand wirklich löschen?,,,¿Seguro que quieres eliminar esta partida guardada?,,,Deseja mesmo excluir este arquivo de salvamento?,,,Na pewno chcesz usunąć ten zapis?,,,确定要删除这个存档？,,,本当にこのデータを削除しますか？
,ui_delete_confirmed,,,,La sauvegarde a été supprimée.,,,The save has been deleted.,,,,,,Der Spielstand wurde gelöscht.,,,Has eliminado la partida guardada.,,,O arquivo de salvamento foi excluído.,,,Zapis został usunięty.,,,存档已删除。,,,データが削除されました。
,ui_pause,,,,Pause,,,Pause,,,,,,Pause,,,Pausa,,,Pausar,,,Pauza,,,暂停,,,一時停止
,ui_resume,,,,Reprendre,,,Resume,,,,,,Fortfahren,,,Reanudar,,,Retomar,,,Wznów,,,继续,,,再開
,ui_restart,,,,Recommencer,,,Restart,,,,,,Neu starten,,,Reiniciar,,,Reiniciar,,,Od początku,,,重新开始,,,リスタート
,ui_controls,,,,Contrôles,,,Controls,,,,,,Steuerung,,,Controles,,,Controles,,,Sterowanie,,,控制,,,操作
,ui_ctrl_movement,,,,Mouvement,,,Movement,,,,,,Bewegung,,,Movimiento,,,Movimentação,,,Ruch,,,移动,,,動作
,ui_ctrl_action,,,,Action,,,Action,,,,,,Aktion,,,Acción,,,Ação,,,Akcja,,,动作,,,アクション
,ui_ctrl_pause,,,,Pause,,,Pause,,,,,,Pause,,,Pausa,,,Pausar,,,Pauza,,,暂停,,,一時停止
,ui_yes,,,,Oui,,,Yes,,,,,,Ja,,,Sí,,,Sim,,,Tak,,,是,,,はい
,ui_no,,,,Non,,,No,,,,,,Nein,,,No,,,Não,,,Nie,,,否,,,いいえ
,ui_Skip,,,,Passer,,,Skip,,,,,,Überspringen,,,Saltar,,,Pular,,,Pomiń,,,跳过,,,スキップ
,ui_master_volume,,,,Volume général,,,Master Volume,there is a slide bar for the volume alongside it,00:42:51,,,,Gesamtlautstärke,,,Volumen general,,,Volume geral,,,Główna,,,主音量,,,主音量
,ui_music_volume,,,,Musique,,,Music,there is a slide bar for the volume alongside it,,,,,Musik,,,Música,,,Música,,,Muzyka,,,音乐,,,音楽
,ui_ambiance_volume,,,,Ambiances,,,Ambience,"there is a slide bar for the volume alongside it 
ambiance is some sort of background sounds",Ambiance,,,,Umgebung,,,Ambiente,,,Ambiente,,,Efekty,,,背景音,,,環境音
,ui_sfx_volume,,,,Effets sonores,,,Sound effects,there is a slide bar for the volume alongside it,,,,,Soundeffekte,,,Efectos de sonido,,,Sons,,,Tło,,,音效,,,サウンドエフェクト
,ui_dialog_volume,,,,Marmonnements,,,Mumbling,"the characters dont speak per se, but there is a sort of ""blblblbl"" when we display their lines. we've translated it with ""mumbling"", as ""voice"" or ""dialogue"" could be misleading. but feel free to adjust as you want",,,,,Gemurmel,,,Murmullos,,,Murmúrios,,,Mamroty,,,嘟哝声,,,話し声
,ui_progress_saved,,,,Progrès sauvegardé.,,,Progress saved.,when the game autosave the progress of the player,,,,,Fortschritt gespeichert.,,,Progreso guardado.,,,Progresso salvo.,,,Postęp zapisany.,,,进度已保存。,,,進行を保存しました。
,ui_menu,,,,Menu,,,Menu,,,,,,Menü,,,Menú,,,Menu,,,Menu,,,菜单,,,メニュー
,ui_changes_saved,,,,Changements sauvegardés.,,,Changes saved.,when we save the settings for instance,,,,,Änderungen gespeichert.,,,Cambios guardados.,,,Alterações salvas.,,,Zmiany zapisane.,,,更改已保存。,,,変更を保存しました。
,ui_agree_to_terms,,,,J'accepte,,,I accept,,,,,,Ich verstehe.,,,Acepto.,,,Eu aceito.,,,Zgadzam się.,,,同意,,,同意する
,ui_learn_more,,,,En savoir plus,,,Learn more,,,,,,Weitere Infos.,,,Más información,,,Saber mais,,,Więcej informacji,,,了解更多,,,詳しく見る
,ui_next,,,,Suivant,,,Next,,,,,,,,,,,,,,,,,,下一步,,,次へ
,ui_safety,,,,Sûreté,,,Safety,,,,,,,,,,,,,,,,,,安全,,,注意
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ui_boot_warning0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ui_details_tab,,,,Détails,,,Details,,,,,,Details,,,Detalles,,,Detalhes,,,Szczegóły,,,详情,,,詳細
,ui_content_warning,,,,Avertissement,,,Content warning,,,,,,Triggerwarnung,,,Advertencia de contenido,,,Aviso de conteúdo,,,Ostrzeżenie dotyczące treści,,,内容警告,,,コンテンツの警告
,ui_data,,,,Données,,,Data,,,,,,Daten,,,Datos,,,Dados,,,Dane,,,资料,,,データ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ui_boot_warning1,,,,Les personnes sensibles à la détresse psychologique peuvent ne pas avoir une expérience sûre en jouant à ce jeu.,,,Individuals sensitive to psychological distress may not have a safe experience playing this game.,,,,,,,,,,,,,,,,,,对于有心理困扰的敏感人群，游玩此游戏可能会有一定安全风险。,,,心理的苦痛に敏感な方は、本作を安全にプレイできない可能性があります。
,ui_boot_warning2,,,,"Giocando a Decarnation, l'utente dichiara di avere almeno 13 anni e di accettare di essere esposto a contenuti inquietanti.",,,"By playing Decarnation, you agree that you are at least 13 years of age, and you consent to your exposure to disturbing content.",,,,,,,,,,,,,,,,,,游玩《Decarnation》即表示您已至少年满 13 岁，并且您已同意此游戏向您展示可能会给您带来困扰的内容。,,,『Decarnation』をプレイすることで、13歳以上であることに同意し、心理的苦痛になり得るコンテンツに触れることに同意したものとみなされます。
,ui_boot_warning3,,,,"""Leggi di più"" per maggiori dettagli sui contenuti inquietanti.",,,“Learn more” for details on the disturbing content.,,,,,,,,,,,,,,,,,,通过“了解更多”可了解有关“可能会给您带来困扰的内容”的详情。,,,コンテンツの詳細は「詳細」をご確認ください。
,ui_extra_warning1,,,,"Decarnation è un gioco horror psicologico che esplora i problemi della vita reale..",,,"Decarnation is a psychological horror game, exploring real life issues.",,,,,,,,,,,,,,,,,,《Decarnation》是一款探索现实人生问题的恐怖心理游戏。,,,『Decarnation』は、現実の問題について探求するサイコホラーゲームです。
,ui_extra_warning2,,,,Potrebbe non essere adatto a voi se siete interessati da uno dei seguenti temi :,,,It may not be suitable for you if you are affected by any of the following themes:,,,,,,,,,,,,,,,,,,若您被以下任一主题困扰，此游戏可能不适合您：,,,以下のいずれかのテーマに触れることに不安がある方には、適切でない可能性があります。
,ui_extra_warning3,,,,"Abuso e disagio psicologico, molestie sessuali, aggressione fisica, annegamento, orrore corporeo.",,,"Psychological abuse and distress, sexual harassment, physical aggression, drowning, body horror.",,,,,,,,,,,,,,,,,,心理虐待和心理困扰、性骚扰、身体侵犯、溺水、身体恐怖。,,,心理的虐待や苦痛、セクハラ、身体的暴力、溺死、ボディホラー。
,ui_extra_warning4,,,,"Per chi è preoccupato per la propria salute mentale, il nostro consiglio più sicuro è di evitare di giocare a Decarnation.",,,"For those with concern for their mental health, our recommendation of the safest approach is to avoid playing Decarnation. ",,,,,,,,,,,,,,,,,,对自身心理健康有担忧的人群，我们建议您安全为上，避免游玩《Decarnation》。,,,メンタルヘルスに懸念がある場合は、安全を期すため、本作をプレイしないことをお勧めします。 
,ui_extra_warning5,,,,"Ci auguriamo che, data la vostra comprensione della vostra salute mentale, possiate prendere la decisione più giusta per voi.",,,"We trust that given your understanding of your own mental health, you are able to make the decision that is right for you.",,,,,,,,,,,,,,,,,,我们相信，在了解自己的心理健康状况的前提下，您有能力做出对自己而言正确的决定。,,,ご自身のメンタルヘルスを配慮した上で、適切な判断をされるようお願い致します。
,ui_extra_warning6,,,,Grazie per la vostra considerazione e rimanete al sicuro.,,,Thank you for your consideration and for staying safe.,,,,,,,,,,,,,,,,,,感谢您的体谅，请您以安全为上。,,,安全なゲームプレイのため、ご理解とご協力をよろしくお願い致します。
,ui_gameover0,,,,Credo in te.,,,I believe in you.,,,,,,,,,,,,,,,,,,,,,I believe in you.
,ui_gameover1,,,,Non arrendetevi.,,,Don't give up.,,,,,,,,,,,,,,,,,,,,,Don't give up.
,ui_gameover2,,,,Si può fare.,,,You can do it.,,,,,,,,,,,,,,,,,,,,,You can do it.
,ui_AnyButton,,,,Premere un pulsante.,,,Press any button.,,,,,,Beliebige Taste drücken,,,Pulsa cualquier botón.,,,Aperte qualquer botão.,,,Wciśnij dowolny przycisk.,,,按任意按钮。,,,いずれかのボタンを押してください。
,ui_chapterselect,,,,Scelta della scena,,,Scene Selection,,,,,,Szenenauswahl,,,Selección de Escena,,,Seleção de Cena,,,Wybór Scen,,,场景选择,,,場面選択
,ui_newgame,,,,Nuova partita,,,New game,,,,,,Neues Spiel,,,Partida nueva,,,Novo jogo,,,Nowa gra,,,新游戏,,,New Game
,ui_autosave,,,,I progressi vengono salvati automaticamente.,,,Your progress is saved automatically.,,,,,,Dein Fortschritt wird automatisch gespeichert.,,,Tu progreso se guarda automáticamente.,,,Seu progresso é salvo automaticamente.,,,Twoje postępy zapisują się automatycznie.,,,您的进度已自动保存。,,,進行状況は自動的に保存されます。
,ui_prologue,,,,Prologo,,,Prologue,,,,,,,,,Prologue,,,Prologue,,,,,,,,,プロローグ
,ui_scene1,,,,Scena 1,,,Scene 1,,,,,,,,,Scene 1,,,Scene 1,,,,,,,,,第1場面
,ui_scene2,,,,Scena 2,,,Scene 2,,,,,,,,,Scene 2,,,Scene 2,,,,,,,,,第2場面
,ui_scene3,,,,Scena 3,,,Scene 3,,,,,,,,,Scene 3,,,Scene 3,,,,,,,,,第3場面
,ui_scene4,,,,Scena 4,,,Scene 4,,,,,,,,,Scene 4,,,Scene 4,,,,,,,,,第4場面
,ui_scene5,,,,Scena 5,,,Scene 5,,,,,,,,,Scene 5,,,Scene 5,,,,,,,,,第5場面
,ui_epilogue,,,,Epilogo,,,Epilogue,,,,,,,,,Epilogue,,,Epilogue,,,,,,,,,エピローグ
,ui_thanks4playing,,,,Grazie per aver giocato.,,,Thanks for playing.,,,,,,Danke fürs Spielen.,,,Gracias por jugar.,,,Agradecemos por jogar.,,,Dziękujemy za grę.,,,感谢游玩。,,,プレイして頂き、ありがとうございます。
,ui_input_anykey,,,,Premere un tasto.,,,Press any key.,,,,,,Beliebige Taste drücken,,,Pulsa cualquier tecla.,,,Aperte qualquer tecla.,,,Wciśnij dowolny klawisz.,,,按任意键。,,,いずれかのキーを押してください。
,ui_input_quit,,,,Appuyez sur Entrer/Espace pour quitter.,,,Press Enter/SpaceBar to quit.,,,,,,Zum Beenden Enter/Leertaste drücken,,,Pulsa Intro/espacio para salir.,,,Aperte Enter/Espaço para sair.,,,"Wciśnij Enter/Spację, by wyjść.",,,按回车/空格退出。,,,やめるには、Enter／Spaceを押します。
,ui_gamescom_warning,,,,"La démo à laquelle vous allez jouer est un montage concentré de scènes tirées des premiers actes de Decarnation.          	                  
 
Bien que cette démo conserve l'essence du récit de Decarnation, certains éléments du jeu ont été réarrangés pour améliorer cette expérience concentrée.	

Bon voyage. 				",,,"The demo you are about to play is a shortened montage of scenes taken from Decarnation's first acts.                                        
 
While this demo maintains the essence of Decarnation's narrative, some elements of the game have been rearranged to enhance the shortened experience.                        

Enjoy your voyage.                  	        ",,,,,,,,,"The demo you are about to play is a shortened montage of scenes taken from Decarnation's first acts.                                        
 
While this demo maintains the essence of Decarnation's narrative, some elements of the game have been rearranged to enhance the shortened experience.                        

Enjoy your voyage.                  	        ",,,"The demo you are about to play is a shortened montage of scenes taken from Decarnation's first acts.                                        
 
While this demo maintains the essence of Decarnation's narrative, some elements of the game have been rearranged to enhance the shortened experience.                        

Enjoy your voyage.                  	        ",,,,,,"The demo you are about to play is a shortened montage of scenes taken from Decarnation's first acts.                                        
 
While this demo maintains the essence of Decarnation's narrative, some elements of the game have been rearranged to enhance the shortened experience.                        

Enjoy your voyage.                  	        ",,,"このデモ版は、『Decarnation』第1幕の場面を短くまとめたものです。                                        
 
短いデモ版で本作の魅力をよりお楽しみ頂くため、物語の本質はそのままに、一部の要素を変えて再構成しています。                        

それでは『Decarnation』の旅をお楽しみください。                  	        "
,ui_gamescom_creators,,,,Les créateurs.,,,The creators,,,,,,,,,The creators,,,The creators,,,,,,The creators,,,クリエイター
,ui_gamescom_audio,,,,Remarque : certaines pistes audio sont temporaires.,,,Note: some audio tracks are placeholders.,,,,,,,,,Note: some audio tracks are placeholders.,,,Note: some audio tracks are placeholders.,,,,,,Note: some audio tracks are placeholders.,,,注：一部の楽曲は暫定的なものです。
,ui_gamescom_demoEnd,,,,"Ceci est la fin de la démo, si vous voulez plus appuyez sur continuer",,,"This is the end of the demo. If you want more, press continue",,,,,,,,,,,,,,,,,,,,,"デモ版はこちらで終了です。更に続けたい場合は、「
続ける」を押してください。"
,ui_gamescom_demoRedo,,,,Recommencer,,,Restart,,,,,,,,,,,,,,,,,,,,,リスタート
,ui_gamescom_pressButton,,,,Premere un pulsante,,,Press any button,,,,,,,,,,,,,,,,,,,,,いずれかのボタンを押してください
,ui_gamescom_controlsTitle,,,,Contrôles,,,Controls,,,,,,,,,,,,,,,,,,,,,操作
,ui_gamescom_controlsMov,,,,Mouvement,,,Movement,,,,,,,,,,,,,,,,,,,,,動作
,ui_gamescom_controlsAct,,,,Action,,,Action,,,,,,,,,,,,,,,,,,,,,アクション
,ui_demo_00,,,,À suivre,,,To be continued,,,,,,To be continued,,,To be continued,,,To be continued,,,To be continued,,,待续,,,To be continued
,ui_demo_01,,,,Début 2023,,,Early 2023,,,,,,Early 2023,,,Early 2023,,,Early 2023,,,Early 2023,,,2023 年初,,,Early 2023
,ui_demo_02,,,,N'hésitez pas à wishlister et partager,,,Please wishlist and share,,,,,,Please wishlist and share,,,Please wishlist and share,,,Please wishlist and share,,,Please wishlist and share,,,请加入到愿望清单并分享,,,ウィッシュリストに追加＆共有してください
,ui_pressStart,,,,Appuyer sur un bouton.,,,Press any button to start,,,,,,Beliebige Taste drücken,,,Pulsa cualquier botón.,,,Aperte qualquer botão.,,,Wciśnij dowolny przycisk.,,,按任意按钮。,,,いずれかのボタンを押してスタート
,,,,,,,,ABSTRACT,,,,,,ZUSAMMENFASSUNG,,,RESUMEN,,,ABSTRATO,,,STRESZCZENIE,,,梗概,,,概要
,,,,,,,,"Fade in the whole scene.
2s
Fade in the title.
1s.
OO turns south to the kid. As she speaks, the kids turn north to watch her:",,,,,,,,,,,,,,,,,,"淡入整个画面。
 2s
 淡入标题。
 1s
 OO 向南边转，面向孩子。她开始说话时，孩子们转向北面看着她：",,,"全体像にフェードイン。
2秒
タイトルにフェードイン。
1秒
OOが子供のいる南の方を向く。彼女が話すと、子供が彼女のいる北の方を向き、彼女を見る。"
,ui_boot_warning_dialogue1,"-top
-auto5",oldone,,"Mi dispiace, ragazzo, questo gioco non fa per te.",,,"Sorry kid, this is not a game for you.",,"Sorry kid. Not your kind of game.
Q: not strong/clear enough imo. the game is not suitable for kids",,,,"Sorry, aber das ist kein Spiel für Kinder.",,,"Lo siento, niña, este juego no es para ti.",,,"Desculpa, mas esse jogo não é pra você.",,,"Wybacz, dzieciaku, ta gra nie jest dla ciebie.",,,抱歉了，这款游戏可能不适合你。,,,残念だけど、このゲームはあなたに向いていないわ。
,ui_boot_warning_dialogue2,"-topleft
-auto5",kid,,"Ah, okay. Je vais jouer à autre chose.",,,"Uh, okay. I'll play something else.",,,,,,"Äh, na gut. Dann spiele ich eben was anderes.",,,"Ah, vale. Jugaré a otra cosa.",,,"Hã, tá bem. Vou jogar outra coisa.",,,"No dobra, zagram w coś innego.",,,啊，好吧。那我玩点别的。,,,ふぅん、そっか。なら他のにするよ。
,,,,,,,,"The kid leaves and OO watch her leave (turned right for a sec), then OO comes back to left.",,,,,,,,,,,,,,,,,,于是孩子离开了，OO 看着她离开（短暂地转向右边），接着 OO 转回了左边。,,,子供が立ち去り、OOは彼女が去るのを見送る（一瞬、右を向く）。すると、OOが左に戻ってくる。
,,,,,,,,"The textbox appears, and the text is displayed (white, font not too big, no colored/bold words) progressively with a mumbling (blblblbl)  (as usual in dialogues).
It's not possible to fastforward it:",,,,,,,,,,,,,,,,,,"出现文本框，然后文本开始逐渐显现（白色字体，字号不大，没有彩色字或粗体字），伴有喃喃的声音（与对话中常见的 blablabla 类似）。
 不可快进：",,,"テキストボックスが表示され、話し声（blblbl）のテキスト（白く大きすぎないフォントで、色や太字はない）が徐々に表示される（通常の会話と同様）。
早送りはできない。"
,ui_boot_warningNEW1,,,,Decarnation est un jeu d'horreur psychologique contenant des représentations et des sujets matures.,,,Decarnation is a psychological horror game with mature subject matter and imagery.,new,,,,a,"Decarnation ist ein psychologisches Horrorspiel, dessen Themen und Bilder eine gewisse Reife voraussetzen.",,,Decarnation es un juego de terror psicológico con imágenes y temas para adultos.,,,Decarnation é um jogo de terror psicológico com um tema e imagens adultos.,,,Decarnation to gra z gatunku horroru psychologicznego poruszająca dojrzałe tematy i obrazująca je w realistyczny sposób.,,,《Decarnation》是一款恐怖心理游戏，包含与成人世界相关的话题与意象。,,,『Decarnation』は成人向けコンテンツを含むサイコホラーです。
,ui_boot_warningNEW2,,,,"Ce jeu ne convient pas aux plus jeunes, et s'adresse à un public averti.",,,It is not suitable for young audiences. Player discretion is advised. ,new,,,,a,Es ist nicht für ein junges Publikum geeignet. Spielern wird zu besonderer Umsicht geraten.,,,No es apto para un público joven. Se recomienda la discreción del jugador.,,,Ele não é adequado para o público jovem. Aconselhamos a discrição do jogador.,,,Nie jest odpowiednia dla młodszych odbiorców. Zalecamy ostrożność podczas rozgrywki.,,,本游戏不适合年纪小的玩家，建议各位玩家谨慎选择。,,,全年齢向けではありませんので、ご注意ください。 
