ID,ENGLISH,ITALIAN
FEAT_AGR_CON,"Agrarian - Whenever you pick up food, you roll 1d20. If you get 16 or higher, you get an additional food item.",
FEAT_APO_CHA,Apolitical - Increases proficiency in rolls by 1. This amount is increased to 10 on any election day.,
FEAT_MONEY_DEX,Money Talks - Get 50% extra money on pickup.,
FEAT_SPIRIT_WIS,Azgalian Spirit - Restore 1 Hit Point every hour that passes.,
FEAT_FEMI_WIS,Lady Fair - Extra proficiency in rolls when speaking with feminine characters.,
FEAT_MASC_STR,Future Patriarch - Extra proficiency in rolls when speaking with masculine characters.,
FEAT_PRINT_INT,Mass Media Propaganda - Alters ability score modifiers on equipped texts. Positive modifiers get +1 and negative modifiers get -1.,
FEAT_UNITY_WIS,"Human-Dwarf Unity - While you are at full health, whenever you take damage, those dice are rolled with disadvantage.",
FEAT_ENDURE_CON,"Azgalian Endurance - For every 3 hours spent being exhausted, you lose 1 level of exhaustion.",
FEAT_DEFEND_STR,Defend the City - Alters ability score modifiers on equipped helms. Positive modifiers get +1 and negative modifiers get -1.,
FEAT_TRUE_DEX,"True Norvikian - Roll initiative with Strength, if it is higher than your Dexterity.",
FEAT_MIGHT_CON,Leviathan Apparatus - Enemies always roll initiative with disadvantage.,
FEAT_FORCE_STR,Unstoppable Force - Alters ability score modifiers on equipped weapons. Positive modifiers get +1 and negative modifiers get -1.,
FEAT_HAND_DEX,Invisible Hand - Advantage on all trifle checks.,
FEAT_OBJECT_CHA,"Immovable Object - Your Dexterity modifier also adds to your haggle discount in shops, stacking with Charisma.",
FEAT_VOICE_STR,"Voice of God - Whenever you roll a d20, another hidden d20 is rolled. If that die is the same as your die, you critically succeed. If both are natural twenties, you regain all your hit points, you regain all your spent spell slots, you lose all levels of exhaustion, and you become genuinely happy for 1d4 seconds.",
FEAT_STRING_INT,"Stringmaster - For each level of spell slot you have, you gain one additional maximum spell slot.",
FEAT_PATRON_CHA,"Communing Patron - If you take damage that would cause you to go to 0, a mysterious force protects you. If this happens, you take no damage, and lose one 1st level spellslot. If you do not have any 1st level spell slots, this does not happen.",
FEAT_LICH_INT,"Almost Lichdom - Inspired by your favorite pale man, you no longer gain health from healing. You also become invulnerable to all forms of damage. Whenever you take damage of any kind, you always gain one level of exhaustion. Whenever you heal more than 6 HP from any one source, you lose one level of exhaustion.",
FEAT_NEURO_WIS,"Esoteric Neuroticism - When you do not have any SHARDS OF JOR, you can spend hit points to unlock dialog options instead. The cost begins at 1 HP, and is doubled each time you use it. The cost resets on a long rest.",
FEAT_BLOOD_CON,"Blood Magic - When you run out of spell slots, you can cast spells with hit points instead. The cost begins at the spell slot level in HP and is multiplied by the amount of times you've activated this effect. The cost resets on a long rest.",
FEAT_CLERIC_STR,"The Cleric - Your healing spells are increased by an extra proficiency. Your heals can also be increased by your Strength modifier instead of your Wisdom modifier, if it is higher.",
FEAT_ROGUE_DEX,Dick-Ass Rogue - The DC of trifle checks are lowered by an extra proficiency.,
FEAT_WIZARD_INT,God-Emperor Wizard - The amount of spells you can prepare is increased by an extra proficiency. Saving Throws made by targets are also rolled at disadvantage.,
FEAT_BARB_CON,"Askanii Barbarian - Whenever you are at or below 25% HP, add an extra proficiency on all rolls.",
FEAT_BARD_CHA,"Lore-Seeking Bard - Your Behold Checks are rolled with an extra proficiency. Additionally, DCs on flirt rolls are lowered by your proficiency.",
FEAT_DRUID_WIS,"Friendly Local Druid - Extra proficiency in rolls when in natural habitats. This includes outside areas, overgrown areas, and caverns.",
FEAT_LEYLINE_CHA,Leyline Hook - Alters ability score modifiers on TRINKETS. Positive modifiers get +1 and negative modifiers get -1.,
FEAT_MILL_CON,"Millennia Guardian - The effects from Potions are doubled. For Ability Score increases, this only affects the first potion of a kind you've ingested.",
FEAT_TINGLE_WIS,Positive Tingle - Healing spells are rolled with twice the normal amount of dice.,
FEAT_SCRIBBLE_INT,Scribble the Margins - Your cleric level is doubled when calculating the amount of spells you can prepare.,
FEAT_DEM_DEX,Democratic Herald - You regain 1d4 hit points each time you ask someone what they are voting in the election.,
