ID,ENGLISH,GERMAN
IP_BRAXO_24,"Braxo. He works for the upper city echelon, and knows more than you'll ever hear. The tiny form is a convenience. Keep him as your friend. He will be useful.",
IP_BRR_2_WIS,<i>Brrr.</i>,
IP_BRR_4,"The vibrations he gives off is his language. With magic, you could communicate better.",
IP_BRR_12,This is a scout of the deeper crevices of the earth. A creature set to keep an eye on the horrors of the icy rage.,
IP_BRR_14,<i>Brrr</i>.,
IP_BRR_17,Perhaps a future ambassador of his people. Treat him with respect.,
IP_CHAMAR_9_STR,A follower of the Holy Mountain. Of Divinii Torum.,
IP_CHAMAR_12,She hates you. Entirely due to your blood origin. Or maybe there's something else...,
IP_CHAMAR_19,"Ah. Of course. It is not you she hates. She hates herself. The human part of herself. The part which places her below her glorious golden celestial masters. If she could sever that humanity, she would do so in an instant, all for a slim chance to hear the choir.",
IP_CHAMAR_23,"Beyond the veil of a faithful servant, there is also a layer of scheming. Yes, this woman is not so much kneeling before power as much as she is intending to grasp as much from the hierarchy as she is able. What an interesting woman.",
IP_DARROW_5_CHA,Here he is. The Coinlord of Norvik and Magistrate of Tolstad.,
IP_DARROW_10,"That smile of his is a facade, of course. An expression-simulacra, heavily trained over the course of twenty years on the job. He's an expert in his field, and his field is politics.",
IP_DARROW_15,"He will respect you only if you serve him loyalty, like a hound, or... if you prove yourself competent and ruthless. He has no time for fools. But a man of his stature does not retain power if he does not recognize talent when it barks in his face.",
IP_DARROW_20,"He inherited his position from his father at a young age. Nicholas has been doing this his entire life, and he's good at it. One of the best. The only problem being, if you're good at the role of a magister, then you're good at a number of nefarious, illegal activities by association.",
IP_DRUMMER_2_DEX,"It's just a crate, right? But what's the rythmic thumping noise?",
IP_DRUMMER_6,You're kidding. The bird is actually- the tea shop owner is- he's... come on. Really?,
IP_DRUMMER_12,"This must be the silliest, most idiotic, and plain stupid plan you've ever seen enacted. Even if he is one of those bird-people who are able to survive without food or water for weeks.",
IP_DRUMMER_15,"Okay, listen up. This bird is inside the create, and once you get it open, you'll be in for an interrogation. So be ready. He'll try to talk himself out of it, but don't worry about that. Just focus on getting him to tell you the actual truth. Be rough or smooth, doesn't matter.",
IP_ETTIR_5_STR,Cold. Stern. Glorious.,
IP_ETTIR_10,She follows orders. The type of orders that grant eternal fulfillment.,
IP_ETTIR_15,"There is a sadness in her existence. Broken wings, stuck among lesser beings. What does she seek?",
IP_ETTIR_20,When an angel falls she ceases to exist. She is transformed. This creature does not seek redemption or emancipation. She seeks purpose.,
IP_ETTIR_25,"Ettir does not need to be here. Something binds her to earth. To Norvik. And it is not esoteric. Not in any sense of the word.


It must be a difficult being. To live between worlds like she does. Perhaps one day she will understand his words.",
IP_EVER_5_CHA,By the gods... it's a TRIFLER!,
IP_EVER_10,"He's real polite though. And he's genuinely not trying to kill you. You don't think it's really got a gender either, but it feels like a 'he' doesn't it? Don't ask him about his gender. Or maybe do?",
IP_EVER_15,"You get a sense for his motivation here. The aberration before you does not hold any grudge, and acts polite towards these ants running around him- all for the purpose of some greater, <i>esoteric</i> vision.",
IP_EVER_20,"<i>Yunolotia Manathern</i>. Fate cannot sway.

Ever-Glad seeks the end of the facade. Ever-Glad seeks the beginning of another Era. All for the sake of avoiding the FREYS OF DOOM.",
IP_FREY_5_STR,"She is dressed in a fine silken robe, like a noblewoman.",
IP_FREY_10,"Her hair is short and coarse. The rebellious kind, but Urthfolk nobility nonetheless.",
IP_FREY_15,Why is she down here? Not many of her kind seek the company of Waterlane workers and goblins.,
IP_FREY_20,Hold on. You recognize her. This is... *Freydis Darrow*! The daughter of the Coinlord!,
IP_GORM_9_STR,"Alas, poor Gorm. His choices led him down this doomed path. Painfully relatable. ",
IP_GORM_14,"Here we have someone who is supposed to be the best of us. Human of good breed. Raised up by Urth himself. Educated, rich, seemingly healthy...

If he could not stay on the path, who could?",
IP_GORM_18,"You're nothing like him. You did not come from nobility. You were not given any special treatment, even with your latent talents. The only thing you have in common is your willingness to throw it all away - to throw yourselves against the meat grinder of TIME.

But you will not be minced. Your sinewy nature will grind it to a halt. The farm boy will live past Ragnarôk. The hero's bones will break upon the pavement.",
IP_GORM_20,Gorm also has a bad shoulder. Exploit that. (Also relatable.),
IP_GOUR_5_STR,"A great and mighty <i>frost troll</i>. Horrifying, even while asleep.",
IP_GOUR_10,"You've got a few ways of approaching this. Killing a troll is not easy, and you need all the advantage you can get.

1. Attack him right away, giving you a head start.
2. Put up some kind of trap.
3. Try to communicate first (weak).
4. Walk away (also weak).",
IP_GOUR_15,"Getting close enough to strike the sleeping monster would be difficult. However, it would allow you to strike a decisive blow.",
IP_GOUR_20,"It is time to redeem yourself. Over twenty years have passed since that fateful day. Now... prove yourself. Show the world...

You have TROLLKILLER blood in your veins.",
IP_ISK_2_INT,"This is an ancient snail, from another time.",
IP_ISK_8,"An interesting fellow. An incredible knowledge, but held within a culture of the Beasts of Jor- complete barbarians. Fascinating. You must, in any case, study this creature.",
IP_ISK_15,The esoteric mastery at play here is beyond anything you have ever encountered. Keep in contact with this snail. It will be of great service in the future.,
IP_ISK_20,"His goal will be completed in time. However, before then you are certain he will break many taboos of the Era. This is the type of man, not too unlike the more sophisticated Arcanists, who will break reality and rewrite Jor's rules, all in an attempt to get the final say.",
IP_IVCX_5_WIS,"The light blinds you. Even among celestials, this creature is powerful.",
IP_IVCX_10,"It seems out of place. Why would an ambassador of the Golden Horde be here? Why would this creature, of such great and bright force, even be here?

It doesn't make any sense.",
IP_IVCX_15,"Antesepalian. A creature who was ancient before this world was created. What stands before you is no ambassador- this is a close servant of an outer Power. That is why your body recoils, even when the light appears to signal nothing but <i>BE NOT AFRAID</i> to your senses.",
IP_IVCX_20,"In its prime, it held closer resemblance to our walking gods than any angel of the Horde. Why is it reduced to <i>your</i> material level, here in your city?

What a strange world you live in, to get a chance to have a civil conversation with it.",
IP_JEHANNE_5_CHA,"A halfling. One of many who lives in Norvik, especially after the Golden Line.",
IP_JEHANNE_10,"She is a hard worker, one of few talents but much heartiness. Support her in her struggle against capital.",
IP_JEHANNE_15,"A boot. That is what she rages against. Not in the activist sense, but in the sense of an ever changing daily grueling toil. Our work never ends.",
IP_JEHANNE_20,"She would prefer to not be engaged in all this messiness. Alas, how else will she keep her wage up? How else will she survive in a world where food gets more expensive while the point of Material Break comes closer by the hour?",
IP_KRAAID_5_CON,"A mad flesh-eating Beast of Jor from the swamps of Hae'Xi. Why he hasn't eaten you yet, you do not know.",
IP_KRAAID_10,"A masterful chef. His passion is cooking. Fried, stewed, pickled, boiled. Kraaid knows all - and his palette is expansive. You included.",
IP_KRAAID_15,"His restrain is not from etiquette nor kindness. This is a monster, spawned from generations of hunters infected, inflicted, by the RED MIST of the Tree of the Spiral - HAGS. HAGS MADE HIM. HE IS BIRTHED FROM EVIL.",
IP_KRAAID_20,"Despite his nature, above all he follows his instinct. Currently, it speaks: FOLLOW THE WIZARD. IT WILL GRANT PASSAGE TO GREATER HUNTS. Those rumblings... they keep your flesh from being CONSUMED.",
IP_KULL_5_CON,It is an elf.,
IP_KULL_10,An elf of Illym. His eyes are dark with the knowledge of your doing.,
IP_KULL_15,"This Illym servant, this spy, this Warden of Outreach - he is but a tendril of his masters. But not so efficient nor successfully scheming as you might imagine. No, they are nowhere near the might of their peak. Illym is dead. This is an avatar of her decaying corpse.",
IP_KULL_20,He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie. He will lie.,
IP_LISA_5_WIS,"Birthed through the evil means of esoteric reproduction, this- this is a hag.",
IP_LISA_10,"A hagling in fact. Not quite so horrible and foul as a true hag, but that is not always a betterment. If anything, they might even end up in more positions of power due to their nature not being so completely evil.",
IP_LISA_15,This one has lived a wild life. You can see it in her eyes- the years spent in service. The dream of a greater life. The bodies left in her wake. This hagling has nothing but a desperate love for life and freedom at this point. Let her have it.,
IP_LISA_20,"She is afraid. Deathly afraid- scared her new life is being ruined by circumstance. She hides it well, but you know it. She would destroy you if she had to. To protect her freelancing career.",
IP_MASKED_5_CON,Uh oh.,
IP_MASKED_10,Dread.,
IP_MASKED_15,"With death on the line, the dagger is meant for your heart.",
IP_MASKED_20,What do you think she wants? The thing in the pipes is listening. The foolish thing. Its mistake will lead you down many frays. Care for your step.,
IP_MERI_5_DEX,A true Freestrider!,
IP_MERI_10,"He's famous. Known along any metropolitan square, mansion, and/or ballroom across the Coast. The type of guy who's leveraged the changing world, and its new popularized technology, to gain a hell of a lot of staying power.",
IP_MERI_15,"But he's also old money. That certainly didn't hurt. So not as impressive as the scrappy underdog story would have you believe, but still pretty impressive. Honestly, for a blue-blood with Arcanist-ties to even survive the revolution is a feat of its own- but to flourish? That's true talent.",
IP_MERI_20,"His smile is wide. His mouth never stops its fellating of the new age. That is where his interest lies- his betting and investment of the Age of Crowds. But populism has its weakness. The main one being, you gotta stay close to the people. Meriadoc seems to keep that knowledge close to heart.",
IP_MISKA_5_WIS,Something is very wrong.,
IP_MISKA_10,Her eyes are striking. Striking your SOUL. Hold on to that feeling or you will be consumed.,
IP_MISKA_15,She wields power you could only dream of. Yet her actions betray her nature. Evil? Good? Is selfishness for one's own tribe the defining trait?,
IP_MISKA_20,"This creature is no goblin. Though her desire lies heavily invested within this tribe, she is far older, and far more dangerous than all these servants of hers combined.",
IP_MISKA_25,She knows well the flames of Esuth. <i>Why is she here?</i>,
IP_MISKA_30,You see through her. Her goals. Her scheme. Is it so simple? Does she simply... love them?,
IP_MODISSA_5_WIS,"A girl on a mission. She's out to fight for the green, no matter the battle.",
IP_MODISSA_10,Her brash exterior is no fakery. It is her heart worn on each of her sleeves.,
IP_MODISSA_15,"Responsibility. That is the weight she feels weighing upon her shoulders. Modissa does not see herself, her EGO, as having any greater meaning. Rather, that meaning has been transposed from others. Her mentor. Her friends. But most importantly, her ideology.",
IP_MODISSA_23,"She does not believe in Azgalism. Not truly. For she happens to be one of those people who does not see any rules upon the urban sprawl and cultural battlefields as worthy of respect. She does not believe anything can be pinned down into an ideology. That belief itself, that is her true ideology. Even if she does not know it yet.",
IP_MOONGORE_5_STR,"A brute, a beast, and a warrior. She could break you easily.",
IP_MOONGORE_10,"Loyalty is a fickle thing. Hers lies with the Halfways, for sake of coin and shelter. But also something else, something more ethereal.",
IP_MOONGORE_15,"Ogres. Hobgoblins. Ettins. Trolls. The bugbear stands among them all as the chargers of the Askanii wilds. You have heard of their kind finding a place within civilized society, as mercenaries and guards. Moongore is a cliche.",
IP_MOONGORE_20,"What else is there to her? She loves violence. She loves power. She craves the thrill. This is a toxic woman through and through. 

...Perhaps you should get to know her better.",
IP_NEARLY_5_WIS,Another goblin. This one is looking to escape.,
IP_NEARLY_10,"She works hard. But only in ways that improve her craft, her passion.",
IP_NEARLY_15,She does not care for politics or the world at large. Yet she tries to uphold a sense of understanding in order to further her art.,
IP_NEARLY_20,"The goblin plays for herself. She seeks not glory, only to support herself with her craft. It seems to not have gone too well so far.",
IP_NESSAN_5_WIS,Unbothered. Moisturized. Happy. In her lane.,
IP_NESSAN_10,"She is focused on her work. But she does not seek strife. She will help you, if you do not pose a threat.",
IP_NESSAN_15,"Her knowledge goes deep, far below the city. Learn from her, and her loneliness.",
IP_NESSAN_20,"This elf is seeking an escape. Why else be *here*, of all places? Her matriarch. Yes. This woman is in trouble. Just like you.",
IP_OLZIS_5_WIS,"Thousands of years, spent guarding a hole in reality. Remember: her perception is beyond your ability to conceive. For her, a day is a fleeting moment. Unless you make it memorable.",
IP_OLZIS_10,A gynosphinx giving out riddles. A woman searching for something - anything - even remotely interesting about these scurrying mortals. Why else allow them into her lair like this?,
IP_OLZIS_15,"She is not being exploited. Whatever deal she struck with the tavernkeep, this Beast of Jor could break it at any moment. None of them hold any power over her. Yet she cannot leave.",
IP_OLZIS_20,"Resentment. Anyone sane, with even a sliver of mortal understanding, would feel resentment after being stuck in one spot for millennia. Olzis, this o-so powerful creature, feels a hint of resentment towards her masters. Perhaps that is why she entertains this fleeting moment.",
IP_OST_5_DEX,This one is quite hostile. Stay on your feet!,
IP_OST_10,His expressionless eyes seem to keep watch at all times. He's obviously determining where to strike for you to die as quickly as possible. How humane.,
IP_OST_15,Usually kobolds are only dangerous in large numbers. This one appears extremely deadly on his own. Beware.,
IP_OST_20,There's something deeper in his connection to his master. This kobold holds the pale man as a 'highest possible value'. Literally his personal god.,
IP_OYU_5_DEX,"A skilled merchant. Businesswoman. Halfling entrepreneur. Man, you could learn a shit-ton from someone like her.",
IP_OYU_10,"Her goods are procured from all over the Coast. Her goal: the journey itself. And, of course, to herald the power of Capital. She's damn good at it.",
IP_OYU_15,"Kargamesh is on the other side of the world. It's an opposite to Askani - a mirror. In their dry we have wet. In their warm we have cold. She'll gladly tell you all about it- on a surface level. She's not here to make friends, not really. Or at least not yet. ",
IP_OYU_20,"Ah. She's not too happy about the current climate. Travel through Divinii Torum and Ym? Not feasible at the moment. Trade? Stiff and regulated. Airships? Few and far between. This decade has been a slow descent into a world of monopolies and corruption, if you ask her. 

She might end up staying in this city of yours for longer than she ever imagined.",
IP_PINJA_5_WIS,"Strange, there's something not quite...",
IP_PINJA_10,...right about this elf on the corner of the fortress. Her...,
IP_PINJA_15,...presence appears not vivid enough for you to...,
IP_PINJA_20,...even accept her as real. Elven magic? Feminine mystique? Or something else?,
IP_PINJA_25,Ah. Of course. She's not really here. The thought sends a shiver down your spine.,
IP_RAZZ_5_CHA,He wants to kill you.,
IP_RAZZ_10,"This is a massive, unregulated, confident, and highly problematic goblin supremacist. He will not debate you on it, he doesn't even see you as worthy of being alive.",
IP_RAZZ_15,"A focused killer. His body count must be in the hundreds. The type of man who wishes for nothing but the destruction of humanity- the Urthfolk especially, and the downfall of this invading species upon the shores of Askanii.",
IP_RAZZ_20,"The more you stare into those deranged eyes of his, the more you understand- he is not full of hatred from some idealistic vision of the future. He does not view the future of Askanii as a goblin paradise. All he wants - entirely due to some personal vendetta fueled by sociopathy - is to erase humans from existence. <i>Gulp</i>.",
IP_RIX_5_DEX,"Money, money, money! This is what you get when the pragmatism of devilhood mixes with the dexterity of human-ish fingers. A mint-making, crown-conscientious, capital-creator of the highest class!",
IP_RIX_10,"Entrepreneurship is about disruption. It's about seeing through the common clay and figuring out the hacks of reality. It's like magic, really. Except it works on scale. ",
IP_RIX_15,"This woman has found several holes in the city's purse. Over the years she's run factories, founded startups, dealt with city corporations, guild deals, and now she's a tavern proprietor. A highly accomplished woman, the type to flourish in the Freestrider future.",
IP_RIX_20,"Her backstory aside, this tiefling finds meaning in the crowns. In capital. The power and respect she finds in this new world is everything she did not have as a child. Here, she is the boss, and in full control - until she isn't.",
IP_ROLLO_5_STR,The next generation! A late-stage teenager representing all young men among the Urthfolk.,
IP_ROLLO_10,"Statistically, it could be worrying. If all young men today feel as lost (and unemployed) as this one, then everything must be going to shit. At least he's politically active!",
IP_ROLLO_15,"That might also be a worrying detail. Young men with little to lose and everything to gain are,  historically speaking, a common driving force behind world-changing conflicts. If the old guard Nationalists do not represent them- if Freestriderism does not support them- if Azgalism is way too... progressive- then what <i>frays</i> will these rumblings lead us along? ",
IP_ROLLO_20,"As with all things, it is <i>ECONOMY</i> which steers the masses. The flow of CAPITAL, as you have read so much about. These boys might rage against the world if they wish, yet if they each held a role in society which paid them well and granted them satisfaction, then all that rage would subside.

They simply require a new ideology. One which supports their economic interests, and nothing else. ",
IP_SHEN_8_INT,"An immigrant of Divinii Torum. An owlfolk. An expert on all things BOOK. He has brought his expertise to your city, and for this you should feel grateful. This is the perfect example of why this new Era is so very, very wonderful.",
IP_SHEN_14,"If you ever feel discontent about his behavior, remember: this is a person. He is not a representative of his entire people. Just as there are humans who are rude and boisterous and egotistical, there are owlfolk of the same cloth. All folk are different. All folk are the same.

This figure is a bit eccentric. Do not let that darken your vision of all other bewinged brother and sisters across the Coast.",
IP_SIMII_5_CHA,A devoted Azgal. Gives everything he has to support the cause.,
IP_SIMII_10,A second son kind of person. Lives in the shadows of greater men.,
IP_SIMII_15,"Follows the Azgal way not due to choice, but due to indoctrination and tradition. He wants to live up to someone. His father? A patriarch?",
IP_SIMII_20,"Simii, the right hand man of Alfoz, wants to be his own man but simply cannot. Not just his own skin, but those who depend on him and his eternal devotion as well.

It's painfully difficult to dislike him.
",
IP_SMARTER_5_INT,Not so much.,
IP_SMARTER_10,A crazed kleptomaniac of a goblin. He needs help. Professional help.,
IP_SMARTER_15,Be careful with him. This is not a typical example of a goblin. This is an extreme. A stereotype. A fable.,
IP_SMARTER_20,"It's on a level where you seriously consider whether this foolish goblin is possessed by some spirit, some divine spark of a trickster god. But the kind of god that would trick his avatar into becoming the useless thief you could possibly imagine.

Stranger things have happened.",
IP_SNELL_5_DEX,This goblin gets shit done. No matter the odds.,
IP_SNELL_10,"Highly competent, but with a craving of validation. Just look at the way he dresses himself!",
IP_SNELL_15,"He doesn't work for himself, or any ideal. This goblin devotes his life for his 'lady', no different from a religious nut.",
IP_SNELL_20,"A lone wolf. Cares too much, won't let anyone close. Old trauma? Got rejected? Family trouble? Who knows.",
IP_SNELL_25,"Huh. Alright, so- it's not really a tragic backstory, but you get it now. He's a <i>yearner</i>. The type to hopelessly throw himself into his work for the sake of some greater good. An idealist. A <i>romantic</i>. In the most goblin sense of the word.",
IP_SNELL_30,"Self-sacrificing. Dreaming. There's a twinkle in his eyes you catch sometimes. A String attached to a destiny, one with few frays. Maybe you could trust him. Maybe he could be a... you know.

<i>A friend.</i>",
IP_SNURRE_5_INT,A scholar of the Fordnip Commonwealth. A man working out of hole in the wall.,
IP_SNURRE_10,"This is the type of man who knows exactly where he is going, and is simply going there very slowly and deliberately. He knows his expertise. His moves are calculated. His journey long.",
IP_SNURRE_15,"The esoteric is closely tied with scholarly arts. In the old days no distinction between the two was made. But today, in this modern world, his side is all but winning.",
IP_SNURRE_20,"You have spent quite some time reading up on his art. It is interesting. Research is the first step to grounded spellcasting after all. But beyond this facade as a dispenser of knowledge, this halfling is also searching for answers to his own questions - namely, what is the nature of power? Politics? The Golden Line?",
IP_STEN_5_CON,A boy named after the dwarven word for 'rock'.,
IP_STEN_10,He likes his friends. They're his only friends.,
IP_STEN_15,"He does have some semblance of opinions around life and love and this city. Yet they are not formulated, nor is he verbose enough to express them properly.",
IP_STEN_20,He is happy to be here. Truly. This boy is probably the happiest man you have ever met in your entire life.,
IP_THAL_5_WIS,Oppressive?,
IP_THAL_10,"He is a good landlord. He takes care of his tenants. He makes sure there is a decent amount of service being done, maintenance, safety checkups. He is nowhere near the worst landlord in Tolstad alone.",
IP_THAL_15,"Yet he holds the key to shelter, one of the pillars in the hierarchy of needs. There is something inherently oppressive about playing into the system. To profit within it, to a senseless degree.

It is unearned wealth. ",
IP_THAL_20,Yet he is but a person in the system. Should we limit a private citizen's ability to leverage his investments for profits? Should the free market dictate how and where folk get to live? Is this merman a bad person for playing his hand in a world built upon the whims of Capital? You do not know. But everyone has an opinion.,
IP_TOLI_5_CHA,He's the silent type.,
IP_TOLI_10,He thinks before he speaks. He also thinks he's very cool because of this behavior.,
IP_TOLI_15,"There's an air of superiority in his body language, in his speech, in his <i>tone</i>. He thinks he's above it all. Even his friends. Hopefully he'll stop thinking such things before it bites him in the ass.",
IP_TOLI_20,"Hm. No, he won't. In the direst of times, this kid will be the first one to lean upon his brothers. He's learned to eat that EGO of his when he has to. That's good. A man is made by the toil of his peers. Nothing more, nothing less.",
IP_URTH_5_STR,A cobbler.,
IP_URTH_10,There's a sadness in his voice. The type born from years of watching your children go astray.,
IP_URTH_15,You do not believe what he is showing you. Yet you do not wish to even entertain the thought of dismissing the image of his kind smile.,
IP_URTH_20,You will serve him until the day you die.,
IP_NISSE_5_DEX,"This is a shitty kid. But kind of fun, too.",
IP_NISSE_10,"If he was your peer growing up, he'd be one of those fucking bullies. That's not really a massive negative on his part- pretty much every well-adjusted kid bullied you.",
IP_NISSE_15,"But he's got some conscience growing inside that skull of his. If he is surrounded by good men, he will turn out fine. If he is surrounded by evil, that is what his life will build.  ",
IP_NISSE_20,"He has talent. Not like yours, gods no, but talent nonetheless. You need to push him towards clericship. Or at the very least some type of path of wizardry. Without it, he will surely end up hurting someone. With it, he might still hurt people, but only in the name of the law.",
IP_VIIRA_5_STR,A traveller. She is not settled here.,
IP_VIIRA_10,Her belief is weak. She does not use it. Her religion is power.,
IP_VIIRA_15,"Is she evil? No. Perhaps an arbitrary arm of an institution, but no mere puppet.",
IP_VIIRA_20,Nothing you can say will sway her. She will play you until the end.,
IP_VISKEN_5_INT,The pale man handles corpses in a basement. A typical self-employed city contractor.,
IP_VISKEN_10,You remember hearing about this man. He used to be a dentist and a surgeon.,
IP_VISKEN_15,"His study into the magical realm is immense. Far beyond your capabilities. Some of these texts he surrounds himself with would suggest he can cast fifth or even sixth level spells. Couldn't be higher, could it?",
IP_VISKEN_20,"This is an ancient man. One forgotten. Misplaced in time. You may learn much from him, if you stay in his good graces.",
IP_XERBA_5_CON,"A girl born from an Azgalist wave, in an Azgal household, come from a fallen Azgal state.

She is an Azgalist.",
IP_XERBA_10,"Dangerously shy. She needs good friends and better mentors. That is not you, by the way.",
IP_XERBA_15,"She has a bright future ahead of her, no matter the path she ends up pushed along into. Alas, her agency is nowhere to be found. Not that she is looking for it.",
IP_XERBA_20,"This is what their movement needs. All movements. A shy and terrified witness who will, at each turn, ask everyone around her to rethink their rash decisions. 

Extremely annoying. But nonetheless... very, very good for society.",
