english,italian
That is what a man does. He grabs a pike and goes to face the roaring troll. He gets his bones embedded into the pavement.,"Ecco cosa fa un uomo: afferra una lancia e si avventa contro quel troll furioso. Di conseguenza, le sue ossa finiscono conficcate nel selciato."
"Then there's the <i>Hag</i>. Lisa is suspicious, but beyond her natural hag-ness, nothing seems to point in her direction.","Poi c’è la <i>Strega</i>. Lisa è sospettosa, ma a parte la sua natura “streghesca”, nulla sembra indicarla come colpevole."
"You try to shear the String, but its strength resists you. It bounces towards you, away, and back, striking you sharply.","<|im_start|>utente</|im_start|>
Cerchi di tagliare quella stringa, ma la sua resistenza ti ostacola. Si scosta continuamente da te, per poi colpirti con forza."
Most antesepalians will tell you the same thing. The world of mortals and non-mortals were separated beyond Jor's Realm.,La maggior parte degli abitanti di Antesepal vi dirà la stessa cosa: il mondo dei mortali e dei non mortali è separato al di là del Regno di Jor.
"Come back later. For now, you should explore as much as you can and get lost and not understand what is going on at all.",<|im_end|>assistente
"The assassin simply steps back out of range. You throw a wild punch to follow up the jab, but your fist meets only air.","L’assassino si semplicemente allontana, uscendo dall’area di tiro. Tu lanci un pugno violento per proseguire l’attacco, ma il tuo pugno colpisce solo l’aria."
"Whatever that whole dance was, it was clearly to avert blame landing on someone. Himself? To push it onto the dead elf?","Qualunque cosa fosse quella scenata, era chiaramente volta a evitare che qualcuno venisse incolpato. Lui stesso? O forse ad addossare la colpa all’elfo morto?"
I choose to believe these are super interesting alien artwork that just happens to be left here below the city.,"<|im_start|>utente</|im_start|>
Scelgo di credere che si tratti di opere d’arte aliena davvero molto interessanti, che per caso si trovino qui, sotto la città.</|im_end|>
<|im_start|>assistente</|im_start|>"
To think this sacrilegious and quite frankly <b>ominous</b> corner would be stashed away in such a holy place.,"Pensare che questo angolo sacrilego, e francamente <b>minaccioso</b>, possa essere nascosto in un luogo così sacro…"
"The both of you have a secure hold on your enemy, but this assassin continues to thrash with surprising vigor.","Voi due tenete il vostro nemico sotto controllo con fermezza, ma quest’assassino continua a colpire con una forza sorprendente."
"They were mass-produced during the Coast War, though. So many of them are used to power industries these days.","Tuttavia, venivano prodotti in massa durante la Guerra del Golfo. Oggi molti di essi vengono utilizzati per alimentare le industrie."
"The dwarf is pulsating with a surge of masculinity. This might be the start of a fight-fight, if you're lucky.","Il nano irradia un’energia maschile intensa. Se sei fortunato, questo potrebbe essere l’inizio di una rissa…"
Your companion lets out a small laugh. The type of laugh you only get after winning against impossible odds.,Il tuo compagno emette una risatina… Quel tipo di risatina che si sente solo dopo aver vinto nonostante tutte le probabilità contrarie.
Even assuming the person who placed it is an <i>idiot</i> who would use something of their own preference...,Anche supponendo che la persona che l’ha messo sia un <i>idiota</i> che utilizzi qualcosa che preferisce personalmente…
Exhaustion weighs on all of you like a heavy blanket. Snell holds up his claws - palms facing the attacker.,"La stanchezza grava su di voi tutti come un pesante mantello. Snell alza le sue unghie, con i palmi rivolti verso l’attaccante."
"You feel a pressure change. A rushing wind causes you to be pulled, just an inch, further into the hallway.","<|im_start|>utente</|im_start|>
Si percepisce un cambiamento di pressione atmosferica; un vento forte spinge verso l’interno del corridoio, facendo avanzare di appena un centimetro.</|im_end|>
<|im_start|>assistente</|im_start|>"
You trace out the symbols on the surface of the rock. These ancient glyphs suddenly rearrange in your mind.,"Tracci i simboli presenti sulla superficie della roccia; questi antichi geroglifici, all’improvviso, si riorganizzano nella tua mente."
There are many ways down. But the passage in the chamber where you woke up... that would be a good place.,Ci sono molti modi per scendere. Ma il passaggio nella stanza dove ti sei svegliato… quello sarebbe un ottimo posto.
"As your voice fades from the deepest echo of the earth, Alfoz mumbles out something from beyond the door.","Mentre la tua voce si perde tra gli echi più profondi della terra, Alfoz mormora qualcosa dall’altra parte della porta."
"Since Ocean or River burials are even more problematic due to the horror-issue, this was the best option.","Poiché le sepolture in mare o nei fiumi presentano problemi ancora più gravi a causa delle implicazioni legate al rischio di pericoli per gli esseri umani, questa è stata l’opzione migliore."
"He's still off-balance from being tackled, so it doesn't have as much power as he's capable of behind it.",<|im_end|>assistente
"He's still off-balance from being tackled, so when he swipes at you with his claws, you dodge most of it.","È ancora sbilanciato a causa dell’attacco subito, quindi quando ti colpisce con le sue unghie, riesci a schivare la maggior parte dei colpi."
Smart of you to keep him around. You'll probably get a chance to talk with him again before the election.,"<|im_start|>utente</|im_start|>  
È stato saggio da parte tua tenerlo vicino a te… Probabilmente avrai l’opportunità di parlare di nuovo con lui prima delle elezioni.  

<|im_end|>  

<|im_start|>assistente</|im_start|>"
"With a faint tug the wall tile breaks apart, revealing a soot-covered, but otherwise intact, <i>safe</i>.","Con una leggera tirata, il piastrello del muro si stacca, rivelando una <i>scatola di sicurezza</i> coperta di fuliggine, ma per il resto intatta."
"He feels the loss, but he has justified it. It is preemptively forgiven, even as he lashes his own back.","Prova dolore per quella perdita, ma l’ha giustificata. Quel dolore viene perdonato in anticipo, anche se lui stesso si punisce severamente."
"The Masked One was <i>there</i>, and now they're <i>here</i>; they teleported directly in front of you.","Il Personaggio Mascherato era <i>lì</i>, e ora è <i>qui</i>; si è teletrasportato direttamente davanti a te."
"Of course, with Reedsian bureaucracy, such a plan could very easily blow up in their faces as well.","Certo, con la burocrazia tipica di Reed, un simile piano potrebbe facilmente rivelarsi un disastro per loro."
Rollo snatches up the stack of papers and tosses them over to Modissa. She catches them with an \,Rollo afferra il mazzo di fogli e lo lancia verso Modissa. Lei li afferra al volo.
That mask would be valuable to have. And knowing who's trying to kill you is usually a good idea.,Quella maschera sarebbe davvero utile avere. E sapere chi sta cercando di ucciderti di solito è una buona idea.
"Beautiful Lie - While you are at full health and 0 exhaustion, gain advantage on all d20 rolls.","Beautiful Lie – Mentre sei al massimo della salute e con lo stato di esaustione pari a 0, ottieni un vantaggio in tutti i lanci dei d20."
"Calling you a simpleminded, instinctual Dragon Servant? Typically elven backhanded compliment.","Chiamarti un sempliciotto, un “Dragon Servant” che agisce soltanto per istinto? Di solito è un complimento velato, tipico degli elfi."
"You see him nervously glance to his friends who sit quietly, attempting to not meet your gaze.","Vedi che guarda nervosamente i suoi amici, i quali seduti in silenzio cercano di evitare il tuo sguardo."
"You see a tiny man sitting on a tall chair, a glass of something strong clasped in his hands.","Vedi un ometto seduto su una sedia alta, con in mano un bicchiere contenente qualcosa di forte."
"He obviously has no real reason to do it, just as you have no reason to stab him in the back.","Ovviamente non ha alcun motivo reale per farlo, proprio come tu non hai alcun motivo per tradirlo alle spalle."
He glances back at his crew. His boys. His men. They look up to him. He cannot be weak. Ever.,Lui lancia uno sguardo verso il suo equipaggio. I suoi ragazzi… I suoi uomini. Loro lo ammirano. Non può essere debole… Mai.
"You decide to ignore the challenge of the tree, and slowly inch your way to the bottom again.","<|im_start|>utente</|im_start|>
Decidi di ignorare la “sfida” rappresentata dall’albero e di procedere lentamente verso il basso, passo dopo passo.</|im_end|>
<|im_start|>assistente</|im_start|>"
The kid picks up a paper from behind him and shows you a picture on one of the last pages. \,Il bambino prende un foglio di carta da dietro di sé e ti mostra un’immagine che si trova su una delle ultime pagine.
"The halfling holds deep, troublesome feelings about leaving her home behind in such a state.",Il mezzoratto nutre sentimenti profondi e tormentati riguardo al fatto di dover lasciare la propria casa in quello stato.
He doesn't want to speak on the subject. But he'll let you ask one question. I can feel it.,"<|im_start|>utente</|im_start|>  
Non vuole parlare di questo argomento, ma ti permetterà di porre una domanda. Lo percepisco chiaramente.  

<|im_end|>  

<|im_start|>assistente</|im_start|>"
"Magic is not an exact science, despite what the instructors in the Towers used to tell you.","La magia non è una scienza esatta, nonostante ciò che vi dicevano gli insegnanti delle Torri."
"Might want to be a bit careful about it, but you could probably put in that jacinth here...","Forse sarebbe meglio essere un po’ più cauti in questo caso, ma probabilmente si potrebbe inserire quel giacinto qui…"
This book must be worth a fortune. A hundred thousand crowns to the right collector? Maybe?,Questo libro deve valere una fortuna. Centomila corone per il giusto collezionista? Forse?
"You must not allow him to believe it to be anything other than a terrible, terrible policy.","<|im_start|>utente</|im_start|>
Non dovete permettergli di credere che si tratti di qualcosa di diverso da una politica terribile, davvero terribile.</|im_end|>
<|im_start|>assistente</|im_start|>"
"You see a human in the cage, silently standing behind the bars, while gesticulating wildly.","Vedi una persona umana nella gabbia, in piedi in silenzio dietro le sbarre, mentre fa gesti frenetici."
"You've focused on a lot of other things, so it's understandable. But perhaps now it's time.","<|im_start|>utente</|im_start|> Hai concentrato la tua attenzione su molte altre cose, quindi è comprensibile. Ma forse ora è arrivato il momento giusto.</|im_end|>

<|im_start|>assistente</|im_start|>"
It is embarrassing you have not already returned to your former state of esoteric mastery.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
Intrusive thoughts and fear spread through your mind the moment you start breathing again.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
"Good attitude. There's always more around the corner, so look out. Don't want to miss any.","Buona attitudine. C’è sempre qualcos’altro in arrivo, quindi stare attenti… Non vogliamo perdere nulla."
You must prove to this potion seller... that your might is superior than any of his brews.,"<|im_start|>utente</|im_start|>
Dovi dimostrare a questo venditore di pozioni… che la tua forza è superiore a quella di qualsiasi sua pozione.</|im_end|>
<|im_start|>assistente</|im_start|>"
Hate to see it. It'd be like if you broke all the fingers on one hand. Or lost your Pouch.,"<|im_start|>utente</|im_start|>  
È davvero triste vederlo… Sarebbe come se ti rompessi tutti gli dita di una mano… O se perdessi il tuo “Pouch”.  

<|im_end|>  

<|im_start|>assistente</|im_start|>"
"I should look at the top documents. The ones simply called, 'AZGALS.' (Spend 90 minutes.)",Dovrei dare un’occhiata ai documenti più importanti… Quelli chiamati semplicemente “AZGALS”. Ci vorranno 90 minuti.
"Except for <i>maybe</i> Razz, who respects you only because you allowed him to stab you.","<|im_start|>utente</|im_end|>

<|im_start|>assistente</|im_end|>"
"He sighs in a deep grumble, the type of noise you did not expect to come out of a cat. \","Sospira profondamente, con un suono che non ti saresti mai aspettato di sentire provenire da un gatto."
"You feel no authority whatsoever. In fact, you are now on the verge of saying the word \","<|im_start|>utente</|im_start|>
Non ti senti affatto autorizzato a fare nulla. Anzi, ora sei sul punto di pronunciare quella parola…

<|im_end|></|im_start|>
<|im_start|>assistente</|im_start|>"
The older files. Focus on the oldest. That's where you'll find interesting perspectives.,I file più vecchi… Concentratevi su quelli più antichi: è lì che troverete punti di vista interessanti.
You could spend an inordinate amount of time sorting and investigating these documents.,Si potrebbe impiegare un tempo eccessivo per ordinare e analizzare questi documenti.
"Alfoz holds out a hand towards his men. They go silent as he opens his mouth to say, \",Alfoz tende una mano verso i suoi uomini. Tutto tace mentre lui apre bocca per dire…
"You see Rix standing outside the tavern, the stone table before her covered in papers.",Vedi Rix in piedi fuori dalla taverna; il tavolo di pietra davanti a lei è coperto di fogli.
"I don't have any strong opinions on tea shops. In fact, I never think of them at all.","Non ho alcuna opinione particolarmente ferma riguardo ai negozi di tè. In realtà, non ci penso affatto."
"Too late to run away! But you gotta stay loose, or this thing'll cut you into pieces.","È troppo tardi per scappare! Ma devi rimanere rilassato, altrimenti questa cosa ti taglierà a pezzi."
"You shear the String, and watch as the dagger is set free in a rapid spinning motion.","Inghlesse: Si taglia la stringa, e si osserva come il pugnale venga rilasciato in un movimento di rotazione rapido.
Italiano: Si taglia la stringa, e si osserva come il pugnale venga rilasciato in un movimento di rotazione rapido."
You will have to be stronger next time. In order to capture this foolish spellcaster.,"Dovrai essere più forte la prossima volta, se vuoi catturare quel stupido incantatore."
"Her voice is rather cold still, but she clearly enjoys your business-first attitude.","La sua voce è ancora piuttosto fredda, ma è evidente che apprezzi la tua attitudine che dà priorità alle esigenze degli altri."
You were fourteen years old. They had lax security at the dance clubs in those days.,"<|im_start|>utente</|im_start|>
Avevi quattordici anni. A quei tempi, nei club dove si tenevano i balli la sicurezza era molto scarsa.</|im_end|>
<|im_start|>assistente</|im_start|>"
He's smooth. Dancing around your mad words like one of those Hae'xian Flame dancers.,"È molto abile… Si muove con agilità attorno alle tue parole “folli”, come uno di quei ballerini delle Fiamme Hae’xian."
"Your <b>foe</b>... he has set himself against you, so he is your <shake>foe</shake>.","<|im_start|>utente</|im_start|>  
Il tuo <b>nemico</b>… si è schierato contro di te, quindi è davvero il tuo nemico acerrimo."
"Ancestral home of the Darrows, one of the most influential noble families in Norvik.","Casa ancestrale dei Darrows, una delle famiglie nobili più influenti di Norvik."
"How deep, you do not know. But the warm rush of blood shows that something happened.","<|im_start|>utente</|im_start|>
Non sai quanto sia profondo… Ma il calore che si diffonde nel sangue indica che qualcosa è accaduto.

<|im_end|>

<|im_start|>assistente</|im_start|>"
The tears build up. Then they pour as you make a feeble attempt to hold it together.,Le lacrime si accumulano… Poi scendono a fiotti mentre si cerca invano di trattenere le emozioni.
And may it be the last time anyone is subject to enduring the travesty of democracy.,E che questa sia l’ultima volta che qualcuno debba sopportare una simile farsa democratica.
I don't see why not? Not like you'll embarrass yourself and die from psychic damage.,"<|im_start|>utente</|im_start|>
Perché no? Non è mica che ti imbarazzerai o morirai a causa di danni psichici…"
"The goblin hands over the finely inter-woven flowers, that you already stole before.","Il goblin consegna i fiori finemente intrecciati, che hai già rubato in precedenza."
"You're unsure exactly what to do this forenoon. Perhaps a walk, to start things off?","<|im_start|>utente
Non sei sicuro di cosa fare questa mattina… Forse una passeggiata per iniziare?"
He is correct. The Golden Horde is performing impeccably in this geopolitical play.,Ha ragione. La Orda d’Oro sta performando in modo impeccabile in questa partita geopolitica.
"A grin and a waltz towards you later, and the orc leans in near your helmed face. \","Un sorriso e poi una danza verso di te… L’orco si avvicina, vicinissimo al tuo viso coperto dall’elmo."
You hurt the little guy's feelings. I'm not sure that's in your best interest here.,<|im_start|>utente</|im_start|> Hai ferito i sentimenti di quel ragazzo… Non sono sicuro che questo sia nel tuo interesse.
You must take the first step to answer three questions to finish the fifth trial...,"<|im_start|>utente</|im_start|> Devi compiere il primo passo per rispondere a tre domande, in modo da completare il quinto test…</|im_end|>

<|im_start|>assistente</|im_start|>"
"Finally, Snell seems to find himself more at ease. He lets out an exasperated sigh.","Finalmente, Snell sembra sentirsi più a suo agio. Sospira, esasperato."
The original builders must have worshiped his apprentices. Like they worshiped him.,"I costruttori originali dovevano adorare i suoi apprendisti, proprio come lo adoravano loro."
"He starts walking towards Pillar Crossing, waving a claw in your general direction.","Inizia a camminare verso Pillar Crossing, agitando una zampa nella tua direzione."
"For a second, though, you thought he was mentioning that The Duck guy. It's like, \","Per un attimo, però, hai pensato che stesse parlando di quel tizio chiamato “The Duck”, vero? È davvero strano…"
"This undead abomination must be apprehended, before he causes damage to innocents.",Questo mostro immortale deve essere catturato prima che possa causare danno agli innocenti.
Glancing upwards reveals the rays to be nothing but a magical tingle on your eyes.,"Alzando lo sguardo, si scopre che quei raggi non sono altro che una sensazione magica e piacevole che colpisce gli occhi."
"In perfect form, your fist makes contact with the beast's horrible unblinking eye.","In perfetta forma, il tuo pugno entra in contatto con l’orribile occhio della bestia, che non batte ciglio."
You can learn a great deal from this lich. Enough to make such an oath worthwhile.,Puoi imparare molto da questo lich… Abbastanza da rendere tale giuramento davvero degno di essere fatto.
"The bird lets out an angry grunt, sounding like some type of thick dwarven fellow.","Il uccello emette un ringhio arrabbiato, che suona come quello di qualche tipo di nano robusto."
Time to describe a moment of your heroism to the goblin. Maybe you'll inspire him.,"<|im_start|>utente</|im_start|>  
Forse potresti ispirare quel goblin descrivendogli un momento di coraggio o eroismo che hai vissuto…  

<|im_end|>  

<|im_start|>assistente</|im_start|>"
But eventually they collect themselves among the occasional relapse and snicker. \,<|im_end|>
You've humiliated him in front of his men. What did you think was going to happen?,<|im_start|>utente</|im_start|> Gli hai umiliato davanti ai suoi uomini. Cosa pensavi che sarebbe successo?
"The angel floats gently before you, a faint smile appearing on her porcelain face.","L’angelo fluttua dolcemente davanti a te, con un debole sorriso che appare sul suo viso di porcellana."
"You have the impulse to touch the wing. Maybe you can mend it, make it work again.","<|im_start|>utente</|im_start|>
Forse hai l’impulso di toccare quella ala… Magari puoi ripararla e farla funzionare di nuovo.

<|im_end|>

<|im_start|>assistente</|im_start|>"
"Rollo looks at your awkward position, holding out a corner of that orange bundle.",Rollo osserva la tua imbarazzante posizione e ti porge un angolo di quel mazzo di arance.
"Just another folktype. Unlike dwarves, they have no close bond with the Urthfolk.","Solo un altro tipo umano… A differenza dei nani, non hanno alcun legame stretto con la gente di Urth."
Your companion gives you a raised-eyebrows-towards-the-fucking-ceiling-type look.,"Il tuo compagno ti lancia uno sguardo tipico di chi alza le sopracciglia, esasperato."
"The familiar shift occurs. Suddenly, the cat's micro-expressions become readable.","Avviene quel cambiamento familiare: all’improvviso, le microespressioni del gatto diventano comprensibili."
He asks you to sacrifice everything. To give until you have nothing left to give.,"<|im_start|>utente</|im_start|>
Ti chiede di sacrificare tutto… Di dare fino a quando non ti rimarrà più nulla da dare.

<|im_end|>

<|im_start|>assistente</|im_start|>"
"You can't let him get the upper hand like this. You gotta be alert! Like, faster!","Non puoi permettergli di prendere il sopravvento in questo modo. Devi stare all’erta! Più velocemente, per favore!"
"This is a long and drawn-out joke at your expense. Kind of funny, in an evil way.","Questo è uno scherzo lungo e noioso a tuo scapito… In un certo senso, abbastanza divertente, anche se in modo “cattivo”."
"The four boys all look at you, fear (and a bit of respect) in their bulging eyes.","I quattro ragazzi ti guardano tutti, con paura (e un po’ di rispetto) negli occhi spalancati."
It must be quite a bit more than just a decent life to afford such a location...,"Per permettersi una location del genere, deve trattarsi di qualcosa di molto più di semplicemente una vita decente…"
"If you focus on yourself, you can probably sustain yourself for a long-ass time.","<|im_start|>utente</|im_start|>
Se ti concentri su te stesso, probabilmente riuscirai a cavartela per un periodo piuttosto lungo.</|im_end|>
<|im_start|>assistente</|im_start|>"
Your heart apologizes for not allowing you to simply give it to Modissa instead.,"<|im_start|>utente</|im_start|>
Il tuo cuore si scusa per non averti permesso di darlo semplicemente a Modissa…</|im_end|>
<|im_start|>assistente</|im_start|>"
"Or, at least, this time. You're fast as fuck, just, you know, can't win 'em all.","<|im_start|>utente</|im_start|>  
Sei davvero veloce, ma, sai com’è… non si può vincere sempre.  

<|im_end|>  

<|im_start|>assistente</|im_start|>"
"It is not tightly sealed, nor is it very fastened against the end of the tunnel.","Non è sigillato hermeticamente, né è fissato in modo molto robusto alla fine del tunnel."
"He looks to the goblin, and immediately holds out a hand, presenting his palm. \","Lui guarda il goblin e immediatamente tende la mano, rivolgendo verso di lui il palmo."
"He lets out a tired sigh, before once again grabbing his shaking, mutated arm. \","Emette un sospiro stanco, prima di afferrare di nuovo il suo braccio mutato e tremante."
Yeah. Not that you're very consistent with asking that at the <i>right</i> time.,Sì. Però non è che tu chieda sempre questo nel “momento giusto”.
"He flops, belly on the ground, and fails to hit you at all. He hisses miserably.","Cadde a faccia in giù, senza riuscire affatto a colpirti, e emise un suono disperato."
The GREEN RAT adjusts his tiny workers' cap (which is actually a bottle cork). \,"<|im_start|>utente</|im_start|>
L’“RATTO VERDE” regola il suo minuscolo cappello da lavoro… che in realtà è un tappo di bottiglia.</|im_end|>
<|im_start|>assistente</|im_start|>"
"You must make it to lower before it ends, or you will hurt yourself in the fall.","<|im_start|>utente</|im_start|>
Devi raggiungere una posizione più bassa prima che tutto finisca, altrimenti ti farai male cadendo."
The ridges in the spiral are even smoother. You find they are not at all coarse.,Le creste presenti nella spirale sono ancora più lisce; si nota che non sono affatto ruvide.
"You look over a thick pile of documents, each adorned with the symbol of a fish.","<|im_start|>utente</|im_start|>
Guardi una pila alta di documenti, ognuno dei quali è decorato con il simbolo di un pesce.</|im_end|>
<|im_start|>assistente</|im_start|>"
You'd think an all-powerful angel-horde would be able to do whatever they want.,Si potrebbe pensare che un esercito di angeli onnipotenti possa fare qualsiasi cosa desideri.
"Don't be so self-absorbed. You are a social creature, defined by what you give.",<|im_end|>
"The second you place your hand on the top of the skull, the gems begin to glow.","Non appena metti la mano sulla parte superiore del cranio, le gemme iniziano a brillare."
"Throwing a powerful uppercut, you catch the underside of The Masked One's mask.","Con un potente uppercut, colpisci la parte inferiore della maschera di colui che indossa la maschera."
"You try to swing a fist towards the goblin's head, but he tilts it to the side.","Provi a colpire il goblin con un pugno in direzione della sua testa, ma lui la sposta di lato."
"Alfoz spits on the ground, and looks over to the orc across the amphitheater. \",Alfoz sputa a terra e guarda verso l’orco che si trova dall’altra parte dell’anfiteatro.
He clicks his tongue once it's just the two of you left on the Circle Square. \,Lui si schioca la lingua non appena rimanete solo voi due nel Circolo Quadrato.
"And check up on your consumables, and so on. Don't wanna run out in the BEYOND.","E controlla anche i tuoi materiali consumabili, e così via. Non vorrai che ti finiscano mentre sei nel “BEYOND”."
He answered inhumanly quickly and to the point for such an obscure question...,"Rispose in modo incredibilmente veloce e diretto, considerando la natura di una domanda così poco chiara…"
"This creature holds no grudges, yet his hollow disposition taunts your senses.","Questa creatura non serba rancori, ma la sua natura vuota e vuota stimola i tuoi sensi."
"The knight is now waiting for another question. Lucky you, he didn't kill you!","Il cavaliere sta ora aspettando un’altra domanda. Fortunatamente per te, non ti ha ucciso!"
