english,italian,source_files
"You try to shear the String, but its strength resists you. It bounces towards you, away, and back, striking you sharply.",,sharedassets20.assets
Most antesepalians will tell you the same thing. The world of mortals and non-mortals were separated beyond Jor's Realm.,,sharedassets22.assets
"Come back later. For now, you should explore as much as you can and get lost and not understand what is going on at all.",,sharedassets3.assets
"The assassin simply steps back out of range. You throw a wild punch to follow up the jab, but your fist meets only air.",,sharedassets22.assets
"Whatever that whole dance was, it was clearly to avert blame landing on someone. Himself? To push it onto the dead elf?",,sharedassets4.assets
I choose to believe these are super interesting alien artwork that just happens to be left here below the city.,,sharedassets20.assets
To think this sacrilegious and quite frankly <b>ominous</b> corner would be stashed away in such a holy place.,,sharedassets20.assets
"The both of you have a secure hold on your enemy, but this assassin continues to thrash with surprising vigor.",,sharedassets20.assets
"They were mass-produced during the Coast War, though. So many of them are used to power industries these days.",,sharedassets23.assets
"The dwarf is pulsating with a surge of masculinity. This might be the start of a fight-fight, if you're lucky.",,sharedassets4.assets
Your companion lets out a small laugh. The type of laugh you only get after winning against impossible odds.,,sharedassets20.assets
Even assuming the person who placed it is an <i>idiot</i> who would use something of their own preference...,,sharedassets4.assets
Exhaustion weighs on all of you like a heavy blanket. Snell holds up his claws - palms facing the attacker.,,sharedassets20.assets
"You feel a pressure change. A rushing wind causes you to be pulled, just an inch, further into the hallway.",,sharedassets20.assets
You trace out the symbols on the surface of the rock. These ancient glyphs suddenly rearrange in your mind.,,sharedassets4.assets
There are many ways down. But the passage in the chamber where you woke up... that would be a good place.,,sharedassets10.assets
"As your voice fades from the deepest echo of the earth, Alfoz mumbles out something from beyond the door.",,sharedassets14.assets
"Since Ocean or River burials are even more problematic due to the horror-issue, this was the best option.",,sharedassets20.assets
"He's still off-balance from being tackled, so it doesn't have as much power as he's capable of behind it.",,sharedassets23.assets
"He's still off-balance from being tackled, so when he swipes at you with his claws, you dodge most of it.",,sharedassets23.assets
Smart of you to keep him around. You'll probably get a chance to talk with him again before the election.,,sharedassets6.assets
"With a faint tug the wall tile breaks apart, revealing a soot-covered, but otherwise intact, <i>safe</i>.",,sharedassets8.assets
"He feels the loss, but he has justified it. It is preemptively forgiven, even as he lashes his own back.",,sharedassets24.assets
"The Masked One was <i>there</i>, and now they're <i>here</i>; they teleported directly in front of you.",,sharedassets22.assets
"Of course, with Reedsian bureaucracy, such a plan could very easily blow up in their faces as well.",,sharedassets4.assets
Rollo snatches up the stack of papers and tosses them over to Modissa. She catches them with an \,,sharedassets19.assets
That mask would be valuable to have. And knowing who's trying to kill you is usually a good idea.,,sharedassets20.assets
"Beautiful Lie - While you are at full health and 0 exhaustion, gain advantage on all d20 rolls.",,sharedassets1.assets
"Calling you a simpleminded, instinctual Dragon Servant? Typically elven backhanded compliment.",,sharedassets4.assets
"You see him nervously glance to his friends who sit quietly, attempting to not meet your gaze.",,sharedassets7.assets
"You see a tiny man sitting on a tall chair, a glass of something strong clasped in his hands.",,sharedassets11.assets
"He obviously has no real reason to do it, just as you have no reason to stab him in the back.",,sharedassets3.assets
He glances back at his crew. His boys. His men. They look up to him. He cannot be weak. Ever.,,sharedassets4.assets
"You decide to ignore the challenge of the tree, and slowly inch your way to the bottom again.",,sharedassets4.assets
The kid picks up a paper from behind him and shows you a picture on one of the last pages. \,,sharedassets4.assets
"The halfling holds deep, troublesome feelings about leaving her home behind in such a state.",,sharedassets4.assets
He doesn't want to speak on the subject. But he'll let you ask one question. I can feel it.,,sharedassets0.assets
"Magic is not an exact science, despite what the instructors in the Towers used to tell you.",,sharedassets12.assets
"Might want to be a bit careful about it, but you could probably put in that jacinth here...",,sharedassets20.assets
This book must be worth a fortune. A hundred thousand crowns to the right collector? Maybe?,,sharedassets20.assets
"You must not allow him to believe it to be anything other than a terrible, terrible policy.",,sharedassets23.assets
"You see a human in the cage, silently standing behind the bars, while gesticulating wildly.",,sharedassets23.assets
"You've focused on a lot of other things, so it's understandable. But perhaps now it's time.",,sharedassets6.assets
It is embarrassing you have not already returned to your former state of esoteric mastery.,,sharedassets10.assets
Intrusive thoughts and fear spread through your mind the moment you start breathing again.,,sharedassets14.assets
"Good attitude. There's always more around the corner, so look out. Don't want to miss any.",,sharedassets2.assets
You must prove to this potion seller... that your might is superior than any of his brews.,,sharedassets4.assets
Hate to see it. It'd be like if you broke all the fingers on one hand. Or lost your Pouch.,,sharedassets6.assets
"I should look at the top documents. The ones simply called, 'AZGALS.' (Spend 90 minutes.)",,sharedassets6.assets
"Except for <i>maybe</i> Razz, who respects you only because you allowed him to stab you.",,sharedassets3.assets
"He sighs in a deep grumble, the type of noise you did not expect to come out of a cat. \",,sharedassets4.assets
"You feel no authority whatsoever. In fact, you are now on the verge of saying the word \",,sharedassets4.assets
The older files. Focus on the oldest. That's where you'll find interesting perspectives.,,sharedassets6.assets
You could spend an inordinate amount of time sorting and investigating these documents.,,sharedassets6.assets
"Alfoz holds out a hand towards his men. They go silent as he opens his mouth to say, \",,sharedassets4.assets
"You see Rix standing outside the tavern, the stone table before her covered in papers.",,sharedassets4.assets
"I don't have any strong opinions on tea shops. In fact, I never think of them at all.",,sharedassets2.assets
"Too late to run away! But you gotta stay loose, or this thing'll cut you into pieces.",,sharedassets20.assets
"You shear the String, and watch as the dagger is set free in a rapid spinning motion.",,sharedassets20.assets
You will have to be stronger next time. In order to capture this foolish spellcaster.,,sharedassets4.assets
"Her voice is rather cold still, but she clearly enjoys your business-first attitude.",,sharedassets18.assets
You were fourteen years old. They had lax security at the dance clubs in those days.,,sharedassets20.assets
He's smooth. Dancing around your mad words like one of those Hae'xian Flame dancers.,,sharedassets23.assets
"Your <b>foe</b>... he has set himself against you, so he is your <shake>foe</shake>.",,sharedassets24.assets
"Ancestral home of the Darrows, one of the most influential noble families in Norvik.",,sharedassets4.assets
"How deep, you do not know. But the warm rush of blood shows that something happened.",,sharedassets4.assets
The tears build up. Then they pour as you make a feeble attempt to hold it together.,,sharedassets4.assets
And may it be the last time anyone is subject to enduring the travesty of democracy.,,sharedassets4.assets
I don't see why not? Not like you'll embarrass yourself and die from psychic damage.,,sharedassets4.assets
"The goblin hands over the finely inter-woven flowers, that you already stole before.",,sharedassets4.assets
"You're unsure exactly what to do this forenoon. Perhaps a walk, to start things off?",,sharedassets6.assets
He is correct. The Golden Horde is performing impeccably in this geopolitical play.,,sharedassets17.assets
"A grin and a waltz towards you later, and the orc leans in near your helmed face. \",,sharedassets18.assets
You hurt the little guy's feelings. I'm not sure that's in your best interest here.,,sharedassets20.assets
You must take the first step to answer three questions to finish the fifth trial...,,sharedassets20.assets
"Finally, Snell seems to find himself more at ease. He lets out an exasperated sigh.",,sharedassets20.assets
The original builders must have worshiped his apprentices. Like they worshiped him.,,sharedassets4.assets
"He starts walking towards Pillar Crossing, waving a claw in your general direction.",,sharedassets4.assets
"For a second, though, you thought he was mentioning that The Duck guy. It's like, \",,sharedassets4.assets
"This undead abomination must be apprehended, before he causes damage to innocents.",,sharedassets2.assets
Glancing upwards reveals the rays to be nothing but a magical tingle on your eyes.,,sharedassets20.assets
"In perfect form, your fist makes contact with the beast's horrible unblinking eye.",,sharedassets20.assets
You can learn a great deal from this lich. Enough to make such an oath worthwhile.,,sharedassets3.assets
"The bird lets out an angry grunt, sounding like some type of thick dwarven fellow.",,sharedassets4.assets
Time to describe a moment of your heroism to the goblin. Maybe you'll inspire him.,,sharedassets4.assets
But eventually they collect themselves among the occasional relapse and snicker. \,,sharedassets4.assets
You've humiliated him in front of his men. What did you think was going to happen?,,sharedassets4.assets
"The angel floats gently before you, a faint smile appearing on her porcelain face.",,sharedassets4.assets
"You have the impulse to touch the wing. Maybe you can mend it, make it work again.",,sharedassets6.assets
"Rollo looks at your awkward position, holding out a corner of that orange bundle.",,sharedassets11.assets
"Just another folktype. Unlike dwarves, they have no close bond with the Urthfolk.",,sharedassets18.assets
Your companion gives you a raised-eyebrows-towards-the-fucking-ceiling-type look.,,sharedassets19.assets
"The familiar shift occurs. Suddenly, the cat's micro-expressions become readable.",,sharedassets21.assets
He asks you to sacrifice everything. To give until you have nothing left to give.,,sharedassets24.assets
"You can't let him get the upper hand like this. You gotta be alert! Like, faster!",,sharedassets4.assets
"This is a long and drawn-out joke at your expense. Kind of funny, in an evil way.",,sharedassets4.assets
"The four boys all look at you, fear (and a bit of respect) in their bulging eyes.",,sharedassets7.assets
It must be quite a bit more than just a decent life to afford such a location...,,sharedassets0.assets
"If you focus on yourself, you can probably sustain yourself for a long-ass time.",,sharedassets12.assets
Your heart apologizes for not allowing you to simply give it to Modissa instead.,,sharedassets15.assets
"Or, at least, this time. You're fast as fuck, just, you know, can't win 'em all.",,sharedassets20.assets
"It is not tightly sealed, nor is it very fastened against the end of the tunnel.",,sharedassets22.assets
"He looks to the goblin, and immediately holds out a hand, presenting his palm. \",,sharedassets23.assets
"He lets out a tired sigh, before once again grabbing his shaking, mutated arm. \",,sharedassets24.assets
Yeah. Not that you're very consistent with asking that at the <i>right</i> time.,,sharedassets3.assets
"He flops, belly on the ground, and fails to hit you at all. He hisses miserably.",,sharedassets3.assets
The GREEN RAT adjusts his tiny workers' cap (which is actually a bottle cork). \,,sharedassets4.assets
"You must make it to lower before it ends, or you will hurt yourself in the fall.",,sharedassets4.assets
The ridges in the spiral are even smoother. You find they are not at all coarse.,,sharedassets4.assets
"You look over a thick pile of documents, each adorned with the symbol of a fish.",,sharedassets6.assets
You'd think an all-powerful angel-horde would be able to do whatever they want.,,sharedassets18.assets
"Don't be so self-absorbed. You are a social creature, defined by what you give.",,sharedassets2.assets
"The second you place your hand on the top of the skull, the gems begin to glow.",,sharedassets20.assets
"Throwing a powerful uppercut, you catch the underside of The Masked One's mask.",,sharedassets20.assets
"You try to swing a fist towards the goblin's head, but he tilts it to the side.",,sharedassets24.assets
"Alfoz spits on the ground, and looks over to the orc across the amphitheater. \",,sharedassets4.assets
He clicks his tongue once it's just the two of you left on the Circle Square. \,,sharedassets4.assets
"And check up on your consumables, and so on. Don't wanna run out in the BEYOND.",,sharedassets4.assets
He answered inhumanly quickly and to the point for such an obscure question...,,sharedassets0.assets
"This creature holds no grudges, yet his hollow disposition taunts your senses.",,sharedassets10.assets
"The knight is now waiting for another question. Lucky you, he didn't kill you!",,sharedassets10.assets
How the <b>FUCK</b> did he manage to... not even get <i>ANYTHING</i> of value?,,sharedassets11.assets
"On the top-box you see the words, 'Kauldrige R. Special Cartridge Quillwells.'",,sharedassets13.assets
"The bird sputters around for a moment. Then he pauses, and scratches his beak.",,sharedassets13.assets
Then he opens the book to the first page of the dozen or so pages of foreword.,,sharedassets17.assets
"Catch him on it. <b>For the Revolution</b>. Stand up to him first, then do it!",,sharedassets18.assets
This esoteric beast holds but one great disadvantage with this horrific guise.,,sharedassets20.assets
No one would leave a book like this. Not without it being stolen very quickly.,,sharedassets20.assets
It must be because you tricked it with the Voting Card! That was a great move!,,sharedassets20.assets
"The visuals here, along with the inland lions would suggest something similar.",,sharedassets22.assets
Then it forms once more into words. That feminine sigh seeping into your ears.,,sharedassets23.assets
"Swinging it around, the paladin performs a pommel strike, aiming at your neck.",,sharedassets24.assets
The Flame Tongue arcs through the space where your neck was a half-second ago.,,sharedassets24.assets
"Along the handle is a button. However, it appears permanently pressed down on.",,sharedassets4.assets
The hair at the back of your neck stands on end as you sense the sudden shift.,,sharedassets4.assets
Might be time. The mystery of the <i>man-in-yellow</i> clearly leads that way.,,sharedassets6.assets
"It is too far removed, his position, his life, his skin, his claws and fangs.",,sharedassets10.assets
"One of them, a long-haired dwarf with droopy eyes throws you a cool head-nod.",,sharedassets19.assets
Suddenly jumping out of the pile - with a poof of moldy dust - is a pinecone.,,sharedassets19.assets
"But of course, you do have the skills to draw basic conclusions. So go ahead.",,sharedassets2.assets
"You aimed at Patriarch. More realistically, you would have ended up a Sender.",,sharedassets2.assets
You should put on the lid. To make sure this does not happen to someone else.,,sharedassets2.assets
They should have left them in the east. The Curselands is a Reedsian problem.,,sharedassets20.assets
Your body crashes against stone until you finally come to rest at the bottom.,,sharedassets23.assets
He's not exactly happy to speak with you. But he is happy to gain your favor.,,sharedassets4.assets
"Right. The telepathic link cuts out with a booming, bassy noise in your ears.",,sharedassets4.assets
"Yeah, but she's an <i>angel</i>. There's probably a higher standard involved.",,sharedassets6.assets
You will tell the tale of <i>The Chamber and the Valve</i> to your offspring.,,sharedassets8.assets
There's a small plate with a fair bit of crowns scattered about the surface.,,sharedassets11.assets
"The dwarf begins to walk away, leaving you and Snell speechless on the pier.",,sharedassets19.assets
That provided no protection. It isn't armor in the traditional sense at all.,,sharedassets20.assets
I hope he can't see me naked. (Try your best not to imagine yourself naked.),,sharedassets22.assets
"He reads your intentions before you can act, shifting his weight to counter.",,sharedassets24.assets
The words leave your lips as if you've spoken them a hundred thousand times.,,sharedassets4.assets
Your companion glares at the corpse. His head then slowly turns towards you.,,sharedassets8.assets
"You see the Gelatinous Cube shake, more violently for every passing second.",,sharedassets20.assets
None but the greatest Arcanists held the knowledge to craft one of these...,,sharedassets20.assets
"He puts down his axe, which was dangerously close to the back of your neck.",,sharedassets3.assets
"You shouldn't have used that phrasing. Bad memories, for everyone involved.",,sharedassets4.assets
"She, too, gives off a face of apolitical diplomacy. How deliciously rancid.",,sharedassets4.assets
I see. Like one of those things adventurers use when sleeping on a journey.,,sharedassets6.assets
You catch something. A glimpse of light within the darkness of his helmet.,,sharedassets10.assets
"Stories about men, striving to conquer the foreign hordes and their lands.",,sharedassets18.assets
"It's an intelligent strategic move, if you wish to control your neighbors.",,sharedassets18.assets
"Well, uh... there's probably <i>some</i> way for you to sell these. Right?",,sharedassets19.assets
"Your companion stares at the gem in your hand, stuttering out a few words.",,sharedassets20.assets
"She's not exactly the most talkative person, but damn if she's not useful.",,sharedassets23.assets
Gorm squints at you and the piece of ancient paper you're waving around. \,,sharedassets24.assets
Stopping this rally will show the ineffectiveness of the Azgals once more.,,sharedassets4.assets
He flinches as you do what appears to be a powerful heave with both hands.,,sharedassets4.assets
"Within the slits of his helmet, you see the faint shimmer of a bony face.",,sharedassets10.assets
"You're shivering in front of him, just from him asking a simple question.",,sharedassets16.assets
"He's laughing. Someone's out there trying to kill you, and he's laughing.",,sharedassets17.assets
THAT INBRED IDIOT ALWAYS SAID THE SAME PHRASE WHENEVER HE OPENED MY BOOK.,,sharedassets17.assets
There's also a marking on the right leg. A circle with a cross inside it.,,sharedassets2.assets
"As the two of you are a few steps away from the crate, he takes a breath.",,sharedassets2.assets
He was touched by feminine corruption. No wonder he fell to demi-lichdom.,,sharedassets20.assets
You pick up the first thing you can grab and hurl it with all your might.,,sharedassets20.assets
"Ettir's many eyes glance over it, lighting it with a slight sacred flame.",,sharedassets22.assets
The Endless Wastes should not allow anything to be built this far inland.,,sharedassets22.assets
"(Groan, and continue with the first words that come out of your mouth.) \",,sharedassets23.assets
He gives you the look of a father looking upon his confused and lost son.,,sharedassets24.assets
"If we listen to every commoner, we'll soon be charging right off a cliff.",,sharedassets3.assets
"He is actually trying to help you, even if it is in this strange fashion.",,sharedassets4.assets
"He seemingly ignores your question for ten or so seconds. Then he says, \",,sharedassets4.assets
There's a hint of disgust in his expression. He dislikes your neutrality?,,sharedassets4.assets
"Words shape the world. More importantly, it is how you <i>use</i> a word.",,sharedassets4.assets
You got one shot. She's bedazzled by your confidence. Don't fuck this up!,,sharedassets4.assets
Is this it? The forbidden art... too powerful for any one man to wield...,,sharedassets4.assets
How could that not annoy you? The elves are too proud for their own good.,,sharedassets4.assets
It's terrible that the archives contain such information on these people.,,sharedassets6.assets
Angels must live longer than humans. This should be investigated as well.,,sharedassets6.assets
"That stick up your ass is going to make you miserable to the end, buddy.",,sharedassets0.assets
"हिंदी में लिखना बहुत सुंदर है। कई भाषाओं में, हिंदी सबसे अधिक व्यापक है।",,sharedassets1.assets
The halfling sniffs a few times while flipping through the golden pages.,,sharedassets17.assets
"She is a bit annoyed at your brash nature, but also finds it refreshing.",,sharedassets18.assets
"Once the ambassador's servant leaves, Viira lifts her chin, squinting. \",,sharedassets18.assets
You should have protected Urth's Chants more carefully. What a disgrace.,,sharedassets2.assets
"And it pays off. Within seconds, the rock hard grip of the sand loosens.",,sharedassets2.assets
The assassin intends to use the distance between you to their advantage.,,sharedassets20.assets
"Your companion, who's already halfway gone, turns and comes back to you.",,sharedassets20.assets
"Your companion takes a step back, while keeping a wary eye on the beast.",,sharedassets20.assets
"He stretches, claws extending briefly into the spine of an ancient book.",,sharedassets21.assets
The assassin tries to fake out the goblin as he winds up another shot. \,,sharedassets22.assets
The return of a divine spark? Yes. That should certainly be above ninth.,,sharedassets24.assets
You need to somehow prove to them you're capable of keeping this secret.,,sharedassets3.assets
"She is so deeply INTO her performance, she does not notice you approach.",,sharedassets4.assets
Using horrific magic to control the evil of this city is... complicated.,,sharedassets4.assets
"Besides, discussing Urth should never be off-limits. With <b>anyone</b>.",,sharedassets6.assets
"You listen to the tiny clicks within, stopping the rotation when you do.",,sharedassets8.assets
העברית היא שפה עתיקה עם אותיות מיוחדות. זהו אחד מיסודות התרבות היהודית.,,sharedassets1.assets
"Except your companion. He just gives you a tired expression and says, \",,sharedassets11.assets
"The mimic's eye goes wide, revealing a horrifying mess of shiny pupils.",,sharedassets20.assets
"Lifting his head, his jaw clenched- one hand gripping over the other. \",,sharedassets24.assets
"You have this crazed maniac of a paladin, ready to perform mass-murder.",,sharedassets24.assets
"As if grabbing hold of the very air, you feel everything growing cold.",,sharedassets10.assets
The way her eyes dart back and forth like that... is she on something?,,sharedassets12.assets
His cackle echoes up the city slope. Then he returns to his newspaper.,,sharedassets4.assets
"Yeah, this situation's screwed up. Can't talk your way outta this one.",,sharedassets4.assets
"If you had time for a trip to the Towers, that would be ideal, alas...",,sharedassets4.assets
"You glance around, looking for him, but you don't see where he's gone.",,sharedassets4.assets
She is not the type to do small talk. It'd be rude rather than polite.,,sharedassets6.assets
For you have <b>risen to the occasion</b>. Your father would be proud.,,sharedassets6.assets
Slowly and deliberately you sneak your fingers underneath the fingers.,,sharedassets8.assets
You're lucky they didn't find the other dozen you'd already sent out.,,sharedassets10.assets
"She laughs, dropping the mushroom she was about to place in her bowl.",,sharedassets12.assets
"You pick up the polished Sallet helm, sand flowing from its orifices.",,sharedassets13.assets
"Stepping closer, you wrap your arms around the flash-frozen creature.",,sharedassets23.assets
"One step after another, you carefully wander up to the hulking beast.",,sharedassets23.assets
"The pale man opens it, taking a few glances over the ancient text. \",,sharedassets0.assets
Must be some goblin special version of the voting cards. How lovely.,,sharedassets10.assets
"(Scream sing the Azgalian folk song, We Own the Mines. In DWARVISH.)",,sharedassets14.assets
I'll kill him for sure. Abominations need to be destroyed in Norvik.,,sharedassets17.assets
"I should just give up on this, shouldn't I? I'm no good at flirting.",,sharedassets18.assets
"The goblin glares at you for a few seconds, before he hisses back, \",,sharedassets23.assets
ROLL8 int-Construct an argument as to why you should get the papers.,,sharedassets4.assets
That was a swear word. You could tell because of the way he said it.,,sharedassets4.assets
You can hear out any advice. Just don't <i>listen</i> to it blindly.,,sharedassets4.assets
You love it when people smile like that. That usually never happens!,,sharedassets4.assets
"An eyebrow raised, almost like he takes your statement seriously. \",,sharedassets0.assets
Everyone calls his kind <b>dark dwarves</b>. At least in the Hills.,,sharedassets11.assets
"The goblin looks at you, with no particular expression on his face.",,sharedassets16.assets
"You see the tears form in his eyes as he leans forward, pleading, \",,sharedassets19.assets
"The door slams shut before you can say thank you, or anything else.",,sharedassets19.assets
"They want good, but their methods have lost the soft touch of Urth.",,sharedassets2.assets
"Clearly a <b>weak man</b>, left to rot below his indecisive nature.",,sharedassets2.assets
"Not very fun, huh? He could at least play along, do a little fake \",,sharedassets20.assets
"The goblin has no idea why you're saying what you're saying, but...",,sharedassets20.assets
Until you notice waves of sickening energy pulsating from his helm.,,sharedassets3.assets
"You hear the girl-in-green groan, as she grabs her stack of papers.",,sharedassets4.assets
"You, too, were swept up in a Samurai-phase during your early years.",,sharedassets6.assets
"Being flustered is in the <b>heart of every man</b>, you blue fool.",,sharedassets6.assets
"A shiny red <i>thing</i>, stuck to the inner part of the top-wheel.",,sharedassets7.assets
On the floor beneath the shelf you find a pile of broken porcelain.,,sharedassets8.assets
That's right! You have to take a proper look here before moving on.,,sharedassets8.assets
He gives you a rare smile and turns to the kobold by the stairs. \,,sharedassets0.assets
Your companion looks a little bit frightened. But he says nothing.,,sharedassets0.assets
The dwarf's glowing smoldering eyes glitter as he bows before you.,,sharedassets11.assets
You also know it hurts more to have an iron plate break your nose.,,sharedassets14.assets
Foul creature. Returned whence he belongs - a dark tunnel beneath.,,sharedassets2.assets
Shrines like this often hold a latent connection to Jor's Strings.,,sharedassets20.assets
"The goblin attempts to spring into action, but he's just too late.",,sharedassets20.assets
The angel's many eyes inspect you thoroughly before she continues.,,sharedassets22.assets
"You try to grab his leg, but he is strong, and in constant motion.",,sharedassets23.assets
"He holds out a clenched fist, mutated flesh in a grotesque ball. \",,sharedassets24.assets
Which is why you obviously should never do that. Keep the mask up!,,sharedassets4.assets
Silverware of the finest kind. With a black stone at its center...,,sharedassets4.assets
Only a fool would ignore it. The unreasonable assessment of DEATH.,,sharedassets4.assets
"He doesn't know about Lisa, then. But he's heard of the situation.",,sharedassets4.assets
"You stagger backwards, forced to use your arms to steady yourself.",,sharedassets4.assets
You sense he's taking just one extra breath before he lets it fly.,,sharedassets4.assets
She's asking something of you? You've actually made an impression.,,sharedassets6.assets
They must have fallen from the ceiling when the tea shop exploded.,,sharedassets7.assets
You glance inside. The fire certainly did not reach anything here.,,sharedassets8.assets
They're not nearly as prone to permanent head injuries as humans.,,sharedassets11.assets
"As his laughter fades, he looks around the place and tells you, \",,sharedassets16.assets
"I see. Greetings, Lord Scholar. (Be wary of this mental meeting.)",,sharedassets17.assets
That is indeed what they are doing. Pure soft power expansionism.,,sharedassets17.assets
But they are commonly seen as extinct in the current Postwar Era.,,sharedassets20.assets
Meek's warning saved you from getting grabbed in the last second!,,sharedassets20.assets
Your thoughts are interrupted by the screeching maw of the beast.,,sharedassets20.assets
Unless an esoteric phenomenon happens to strike you - then it is.,,sharedassets20.assets
But you cannot tell exactly what it is made of. You have no idea.,,sharedassets20.assets
"You might learn it in time, alongside her. Be <i>kind</i> to her.",,sharedassets22.assets
They didn't even try to insult you well... and it still worked...,,sharedassets22.assets
He didn't actually end it mid-sentence this time. How remarkable.,,sharedassets4.assets
That was surely an Esoteric Event. Or else... you're turning mad.,,sharedassets4.assets
"The goblin squints at you, as if you too were an esoteric pocket.",,sharedassets4.assets
"It's a hard wooden frame, with fancy iron set-pieces on each end.",,sharedassets4.assets
He's just a little guy. With wings. Reading his little newspaper.,,sharedassets4.assets
"Especially as it reaches upwards, into the clouds above the city.",,sharedassets4.assets
"As you deliberate over your situation, Ettir descends from above.",,sharedassets4.assets
To resist a spell from you with ease- that is no simple 'trick'.,,sharedassets0.assets
He puts down his pencil and points two thumbs towards himself. \,,sharedassets0.assets
Oh yeah. She talks so damn much you barely even picked up on it.,,sharedassets1.assets
"Is this what being a part of a weak, dead culture feels like...?",,sharedassets10.assets
"If the Freestriders were in charge, this'd be organized already.",,sharedassets10.assets
"In your days, you've only seen a handful of those gangly freaks.",,sharedassets12.assets
Eh. You've broken him enough. He'll spill the beans on this too.,,sharedassets13.assets
"Your heart tells you clearly, every day. You don't live for you.",,sharedassets17.assets
"She opens her mouth and thinks for a moment before clarifying, \",,sharedassets18.assets
The assassin jerks to attention and glances over both shoulders.,,sharedassets20.assets
Being unable to <i>solo</i> a dragon isn't exactly embarrassing.,,sharedassets23.assets
"You watch her waddle off, in a very <i>unique</i> walking style.",,sharedassets23.assets
"Thick, rubbery vines drape over the ancient, spiraling concrete.",,sharedassets23.assets
Blood sprays. Your mind is filled with the white noise of panic.,,sharedassets3.assets
"Once again, you have learned nothing by this practical exercise.",,sharedassets4.assets
